TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-27,2026-07-27,FO,NSE,STO,78234,,ABCAPITAL,,2026-08-25,2026-08-25,395.0,CE,ABCAPITAL26AUG395CE,17.35,19.3,17.25,19.25,19.3,15.9,400.45,19.25,24800,15500,10,12799590.0,9,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,78225,,ABCAPITAL,,2026-08-25,2026-08-25,365.0,CE,ABCAPITAL26AUG365CE,0.0,0.0,0.0,42.4,0.0,42.4,400.45,42.05,0,0,0,0.0,0,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,65756,,ABCAPITAL,,2026-07-28,2026-07-28,400.0,CE,ABCAPITAL26JUL400CE,2.05,2.8,1.3,1.75,1.5,1.4,400.45,1.75,694400,-353400,1431,1782674995.0,1170,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,65744,,ABCAPITAL,,2026-07-28,2026-07-28,350.0,CE,ABCAPITAL26JUL350CE,48.0,48.2,48.0,48.2,48.2,43.0,400.45,50.55,65100,-3100,2,2468220.0,2,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,67244,,ABCAPITAL,,2026-08-25,2026-08-25,410.0,CE,ABCAPITAL26AUG410CE,11.8,12.1,10.4,11.85,11.55,10.05,400.45,11.85,833900,99200,183,238930640.0,133,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,67246,,ABCAPITAL,,2026-08-25,2026-08-25,420.0,CE,ABCAPITAL26AUG420CE,8.0,8.35,7.3,8.25,8.35,6.95,400.45,8.25,365800,80600,83,110092160.0,70,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,78470,,ABCAPITAL,,2026-09-29,2026-09-29,440.0,CE,ABCAPITAL26SEP440CE,0.0,0.0,0.0,17.05,0.0,17.05,400.45,14.45,0,0,0,0.0,0,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,67145,,ABCAPITAL,,2026-07-28,2026-07-28,335.0,PE,ABCAPITAL26JUL335PE,0.05,0.05,0.05,0.05,0.05,0.1,400.45,0.0,40300,-9300,3,3115965.0,1,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,67158,,ABCAPITAL,,2026-07-28,2026-07-28,395.0,PE,ABCAPITAL26JUL395PE,2.85,2.95,0.35,0.65,0.45,4.25,400.45,0.65,328600,-6200,364,447723080.0,336,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,42673,,ABCAPITAL,,2026-07-28,2026-07-28,450.0,PE,ABCAPITAL26JUL450PE,0.0,0.0,0.0,49.3,49.3,49.3,400.45,49.5,6200,0,0,0.0,0,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,67233,,ABCAPITAL,,2026-08-25,2026-08-25,350.0,PE,ABCAPITAL26AUG350PE,2.1,2.2,1.5,1.65,1.6,2.65,400.45,1.65,368900,201500,105,114513380.0,87,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,78224,,ABCAPITAL,,2026-08-25,2026-08-25,355.0,PE,ABCAPITAL26AUG355PE,2.6,2.6,2.0,2.0,2.0,3.25,400.45,2.0,27900,24800,8,8857165.0,5,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,78255,,ABCAPITAL,,2026-08-25,2026-08-25,445.0,PE,ABCAPITAL26AUG445PE,0.0,0.0,0.0,58.0,0.0,58.0,400.45,47.5,0,0,0,0.0,0,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,78221,,ABCAPITAL,,2026-08-25,2026-08-25,345.0,CE,ABCAPITAL26AUG345CE,0.0,0.0,0.0,55.5,55.5,55.5,400.45,58.9,3100,0,0,0.0,0,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,67140,,ABCAPITAL,,2026-07-28,2026-07-28,315.0,CE,ABCAPITAL26JUL315CE,0.0,0.0,0.0,74.95,74.95,74.95,400.45,85.5,6200,0,0,0.0,0,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,67157,,ABCAPITAL,,2026-07-28,2026-07-28,395.0,CE,ABCAPITAL26JUL395CE,4.0,5.75,3.3,5.45,5.45,2.95,400.45,5.45,226300,-213900,341,422215040.0,328,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,67165,,ABCAPITAL,,2026-07-28,2026-07-28,435.0,CE,ABCAPITAL26JUL435CE,0.1,0.15,0.05,0.05,0.05,0.1,400.45,0.0,71300,6200,13,17533290.0,12,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,65755,,ABCAPITAL,,2026-07-28,2026-07-28,390.0,PE,ABCAPITAL26JUL390PE,1.25,1.35,0.1,0.25,0.1,2.1,400.45,0.25,666500,-279000,441,534062575.0,343,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,67159,,ABCAPITAL,,2026-07-28,2026-07-28,405.0,CE,ABCAPITAL26JUL405CE,1.05,1.35,0.4,0.5,0.45,0.65,400.45,0.5,728500,89900,841,1057856865.0,617,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,67240,,ABCAPITAL,,2026-08-25,2026-08-25,390.0,CE,ABCAPITAL26AUG390CE,21.6,22.45,20.0,22.15,22.45,18.6,400.45,22.15,207700,9300,33,42036310.0,30,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,67234,,ABCAPITAL,,2026-08-25,2026-08-25,360.0,CE,ABCAPITAL26AUG360CE,41.85,41.85,41.85,41.85,41.85,38.0,400.45,46.05,37200,6200,2,2491470.0,1,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,78359,,ABCAPITAL,,2026-09-29,2026-09-29,330.0,PE,ABCAPITAL26SEP330PE,0.0,0.0,0.0,7.2,0.0,7.2,400.45,3.5,0,0,0,0.0,0,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,67152,,ABCAPITAL,,2026-07-28,2026-07-28,375.0,CE,ABCAPITAL26JUL375CE,21.7,25.35,21.7,25.35,25.35,18.75,400.45,25.35,99200,-3100,4,4930860.0,4,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,65752,,ABCAPITAL,,2026-07-28,2026-07-28,380.0,CE,ABCAPITAL26JUL380CE,17.0,20.15,16.55,19.95,20.15,14.35,400.45,19.95,155000,-21700,15,18503745.0,15,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,67236,,ABCAPITAL,,2026-08-25,2026-08-25,370.0,CE,ABCAPITAL26AUG370CE,34.0,36.5,34.0,36.5,36.5,26.5,400.45,36.5,40300,6200,2,2512550.0,2,F1,3100,,,,,
2026-07-27,2026-07-27,FO,NSE,STO,65741,,ABCAPITAL,,2026-07-28,2026-07-28,330.0,PE,ABCAPITAL26JUL330PE,0.1,0.1,0.05,0.05,0.05,0.05,400.45,0.0,80600,0,6,6139395.0,3,F1,3100,,,,,
