TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-03,2026-08-03,FO,NSE,STO,53043,,ABCAPITAL,,2026-10-27,2026-10-27,410.0,CE,ABCAPITAL26OCT410CE,0.0,0.0,0.0,26.45,0.0,26.45,424.31,44.03,0,0,0,0.0,0,F1,3100,,,,,
2026-08-03,2026-08-03,FO,NSE,STO,78467,,ABCAPITAL,,2026-09-29,2026-09-29,420.0,PE,ABCAPITAL26SEP420PE,12.65,16.5,12.65,16.5,16.5,44.9,424.31,23.11,21700,21700,7,9422140.0,7,F1,3100,,,,,
2026-08-03,2026-08-03,FO,NSE,STO,67245,,ABCAPITAL,,2026-08-25,2026-08-25,410.0,PE,ABCAPITAL26AUG410PE,9.0,9.2,4.05,6.7,6.75,14.45,424.31,6.7,1258600,201500,1577,2034733980.0,1387,F1,3100,,,,,
2026-08-03,2026-08-03,FO,NSE,STO,78233,,ABCAPITAL,,2026-08-25,2026-08-25,385.0,PE,ABCAPITAL26AUG385PE,2.1,2.25,0.95,1.65,1.5,4.5,424.31,1.65,378200,65100,352,421613950.0,298,F1,3100,,,,,
2026-08-03,2026-08-03,FO,NSE,STO,53059,,ABCAPITAL,,2026-10-27,2026-10-27,480.0,CE,ABCAPITAL26OCT480CE,0.0,0.0,0.0,8.4,0.0,8.4,424.31,16.37,0,0,0,0.0,0,F1,3100,,,,,
2026-08-03,2026-08-03,FO,NSE,STO,78466,,ABCAPITAL,,2026-09-29,2026-09-29,420.0,CE,ABCAPITAL26SEP420CE,0.0,0.0,0.0,23.3,0.0,23.3,424.31,31.73,0,0,0,0.0,0,F1,3100,,,,,
2026-08-03,2026-08-03,FO,NSE,STO,78256,,ABCAPITAL,,2026-08-25,2026-08-25,455.0,CE,ABCAPITAL26AUG455CE,4.1,4.7,2.15,2.55,2.7,7.25,424.31,2.55,189100,189100,168,238848180.0,131,F1,3100,,,,,
2026-08-03,2026-08-03,FO,NSE,STO,67248,,ABCAPITAL,,2026-08-25,2026-08-25,430.0,CE,ABCAPITAL26AUG430CE,5.3,13.7,5.3,8.3,8.45,4.4,424.31,8.3,2573000,1007500,7365,10057975575.0,6355,F1,3100,,,,,
2026-08-03,2026-08-03,FO,NSE,STO,67232,,ABCAPITAL,,2026-08-25,2026-08-25,350.0,CE,ABCAPITAL26AUG350CE,76.55,76.55,76.55,76.55,76.55,55.85,424.31,75.98,71300,3100,1,1322305.0,1,F1,3100,,,,,
2026-08-03,2026-08-03,FO,NSE,STO,53030,,ABCAPITAL,,2026-10-27,2026-10-27,350.0,PE,ABCAPITAL26OCT350PE,0.0,0.0,0.0,12.2,0.0,12.2,424.31,5.77,0,0,0,0.0,0,F1,3100,,,,,
2026-08-03,2026-08-03,FO,NSE,STO,53060,,ABCAPITAL,,2026-10-27,2026-10-27,480.0,PE,ABCAPITAL26OCT480PE,0.0,0.0,0.0,89.85,0.0,89.85,424.31,64.73,0,0,0,0.0,0,F1,3100,,,,,
2026-08-03,2026-08-03,FO,NSE,STO,67230,,ABCAPITAL,,2026-08-25,2026-08-25,340.0,CE,ABCAPITAL26AUG340CE,0.0,0.0,0.0,56.0,56.0,56.0,424.31,85.73,18600,0,0,0.0,0,F1,3100,,,,,
2026-08-03,2026-08-03,FO,NSE,STO,78494,,ABCAPITAL,,2026-09-29,2026-09-29,470.0,PE,ABCAPITAL26SEP470PE,0.0,0.0,0.0,81.2,0.0,81.2,424.31,53.71,0,0,0,0.0,0,F1,3100,,,,,
2026-08-03,2026-08-03,FO,NSE,STO,78253,,ABCAPITAL,,2026-08-25,2026-08-25,435.0,PE,ABCAPITAL26AUG435PE,14.0,20.5,13.75,20.0,19.95,42.25,424.31,20.0,89900,86800,99,138519935.0,86,F1,3100,,,,,
2026-08-03,2026-08-03,FO,NSE,STO,78462,,ABCAPITAL,,2026-09-29,2026-09-29,400.0,CE,ABCAPITAL26SEP400CE,36.2,40.5,32.0,32.0,32.0,22.45,424.31,32.0,49600,6200,5,6767920.0,4,F1,3100,,,,,
