TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-07,2026-04-07,FO,NSE,STO,76084,,ABCAPITAL,,2026-04-28,2026-04-28,270.0,PE,ABCAPITAL26APR270PE,2.8,3.0,2.4,2.55,2.6,2.6,308.55,2.55,406100,-12400,17,14369740.0,15,F1,3100,,,,,
2026-04-07,2026-04-07,FO,NSE,STO,76029,,ABCAPITAL,,2026-04-28,2026-04-28,240.0,PE,ABCAPITAL26APR240PE,0.95,0.95,0.7,0.7,0.7,0.85,308.55,0.7,86800,12400,18,13435555.0,18,F1,3100,,,,,
2026-04-07,2026-04-07,FO,NSE,STO,76076,,ABCAPITAL,,2026-05-26,2026-05-26,360.0,CE,ABCAPITAL26MAY360CE,0.0,0.0,0.0,23.4,0.0,23.4,308.55,4.0,0,0,0,0.0,0,F1,3100,,,,,
2026-04-07,2026-04-07,FO,NSE,STO,76070,,ABCAPITAL,,2026-05-26,2026-05-26,330.0,CE,ABCAPITAL26MAY330CE,10.0,10.0,10.0,10.0,10.0,38.95,308.55,10.55,12400,12400,4,4216000.0,2,F1,3100,,,,,
2026-04-07,2026-04-07,FO,NSE,STO,76105,,ABCAPITAL,,2026-04-28,2026-04-28,380.0,CE,ABCAPITAL26APR380CE,0.0,0.0,0.0,0.35,0.35,0.35,308.55,0.2,15500,0,0,0.0,0,F1,3100,,,,,
2026-04-07,2026-04-07,FO,NSE,STO,76095,,ABCAPITAL,,2026-04-28,2026-04-28,330.0,CE,ABCAPITAL26APR330CE,4.55,5.4,4.2,4.55,4.45,5.55,308.55,4.55,1050900,24800,196,203319700.0,178,F1,3100,,,,,
2026-04-07,2026-04-07,FO,NSE,STO,75988,,ABCAPITAL,,2026-04-28,2026-04-28,315.0,CE,ABCAPITAL26APR315CE,9.0,11.1,9.0,9.85,9.6,11.2,308.55,9.85,461900,49600,176,177266680.0,170,F1,3100,,,,,
2026-04-07,2026-04-07,FO,NSE,STF,62333,,ABCAPITAL,,2026-06-30,2026-06-30,,,ABCAPITAL26JUNFUT,312.0,312.0,311.9,311.9,311.9,314.0,308.55,313.15,6200,3100,2,1934090.0,2,F1,3100,,,,,
2026-04-07,2026-04-07,FO,NSE,STO,76061,,ABCAPITAL,,2026-05-26,2026-05-26,280.0,PE,ABCAPITAL26MAY280PE,0.0,0.0,0.0,2.65,0.0,2.65,308.55,5.8,0,0,0,0.0,0,F1,3100,,,,,
2026-04-07,2026-04-07,FO,NSE,STO,76067,,ABCAPITAL,,2026-05-26,2026-05-26,310.0,PE,ABCAPITAL26MAY310PE,0.0,0.0,0.0,8.0,0.0,8.0,308.55,17.25,0,0,0,0.0,0,F1,3100,,,,,
2026-04-07,2026-04-07,FO,NSE,STO,83328,,ABCAPITAL,,2026-05-26,2026-05-26,315.0,PE,ABCAPITAL26MAY315PE,0.0,0.0,0.0,29.7,0.0,29.7,308.55,19.9,0,0,0,0.0,0,F1,3100,,,,,
2026-04-07,2026-04-07,FO,NSE,STO,76069,,ABCAPITAL,,2026-05-26,2026-05-26,320.0,PE,ABCAPITAL26MAY320PE,0.0,0.0,0.0,10.8,0.0,10.8,308.55,22.8,0,0,0,0.0,0,F1,3100,,,,,
