TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-30,2026-03-30,FO,NSE,STF,66695,,ABCAPITAL,,2026-04-28,2026-04-28,,,ABCAPITAL26APRFUT,303.0,303.0,291.25,292.5,292.95,306.65,292.25,292.5,45622700,1134600,4243,3890874015.0,3740,F1,3100,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,75766,,ABCAPITAL,,2026-03-30,2026-03-30,305.0,CE,ABCAPITAL26MAR305CE,1.55,2.0,0.05,0.05,0.05,4.9,292.25,292.25,396800,89900,331,313460995.0,245,F1,3100,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,57600,,ABCAPITAL,,2026-03-30,2026-03-30,330.0,CE,ABCAPITAL26MAR330CE,0.1,0.15,0.05,0.05,0.05,0.25,292.25,292.25,613800,-136400,174,178033930.0,106,F1,3100,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,75790,,ABCAPITAL,,2026-03-30,2026-03-30,345.0,CE,ABCAPITAL26MAR345CE,0.05,0.05,0.05,0.05,0.05,0.05,292.25,292.25,694400,-21700,16,17114480.0,9,F1,3100,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,76083,,ABCAPITAL,,2026-04-28,2026-04-28,270.0,CE,ABCAPITAL26APR270CE,0.0,0.0,0.0,84.9,0.0,84.9,292.25,26.0,0,0,0,0.0,0,F1,3100,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,76089,,ABCAPITAL,,2026-04-28,2026-04-28,300.0,CE,ABCAPITAL26APR300CE,13.85,15.25,9.8,10.2,10.5,17.45,292.25,10.2,846300,542500,559,540998825.0,496,F1,3100,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,75925,,ABCAPITAL,,2026-04-28,2026-04-28,305.0,CE,ABCAPITAL26APR305CE,11.55,12.4,7.95,8.3,8.45,14.5,292.25,8.3,554900,83700,253,247072480.0,246,F1,3100,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,76013,,ABCAPITAL,,2026-04-28,2026-04-28,375.0,CE,ABCAPITAL26APR375CE,0.0,0.0,0.0,12.85,0.0,12.85,292.25,0.05,0,0,0,0.0,0,F1,3100,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,76072,,ABCAPITAL,,2026-05-26,2026-05-26,340.0,CE,ABCAPITAL26MAY340CE,0.0,0.0,0.0,33.15,0.0,33.15,292.25,2.8,0,0,0,0.0,0,F1,3100,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,57528,,ABCAPITAL,,2026-03-30,2026-03-30,240.0,PE,ABCAPITAL26MAR240PE,0.0,0.0,0.0,0.4,0.0,0.4,292.25,292.25,0,0,0,0.0,0,F1,3100,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,76090,,ABCAPITAL,,2026-04-28,2026-04-28,300.0,PE,ABCAPITAL26APR300PE,12.85,18.2,12.3,17.6,16.9,10.7,292.25,17.6,1001300,18600,322,314577305.0,266,F1,3100,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,76158,,ABCAPITAL,,2026-05-26,2026-05-26,400.0,CE,ABCAPITAL26MAY400CE,0.0,0.0,0.0,10.6,0.0,10.6,292.25,0.15,0,0,0,0.0,0,F1,3100,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,76074,,ABCAPITAL,,2026-05-26,2026-05-26,350.0,CE,ABCAPITAL26MAY350CE,0.0,0.0,0.0,27.95,0.0,27.95,292.25,1.8,0,0,0,0.0,0,F1,3100,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,76081,,ABCAPITAL,,2026-04-28,2026-04-28,260.0,CE,ABCAPITAL26APR260CE,0.0,0.0,0.0,43.95,43.95,43.95,292.25,34.5,6200,0,0,0.0,0,F1,3100,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,75792,,ABCAPITAL,,2026-03-30,2026-03-30,355.0,CE,ABCAPITAL26MAR355CE,0.05,0.05,0.05,0.05,0.05,0.05,292.25,292.25,1122200,-9300,3,3301965.0,2,F1,3100,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,75987,,ABCAPITAL,,2026-04-28,2026-04-28,305.0,PE,ABCAPITAL26APR305PE,15.95,20.85,15.25,20.45,19.9,12.75,292.25,20.45,412300,21700,197,197344760.0,192,F1,3100,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,75740,,ABCAPITAL,,2026-03-30,2026-03-30,275.0,CE,ABCAPITAL26MAR275CE,0.0,0.0,0.0,77.85,0.0,77.85,292.25,292.25,0,0,0,0.0,0,F1,3100,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,57604,,ABCAPITAL,,2026-03-30,2026-03-30,350.0,CE,ABCAPITAL26MAR350CE,0.05,0.05,0.05,0.05,0.05,0.05,292.25,292.25,1342300,0,24,26043720.0,8,F1,3100,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,75763,,ABCAPITAL,,2026-03-30,2026-03-30,285.0,PE,ABCAPITAL26MAR285PE,0.2,0.35,0.05,0.05,0.05,0.75,292.25,292.25,96100,-49600,67,59218370.0,46,F1,3100,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,57603,,ABCAPITAL,,2026-03-30,2026-03-30,340.0,PE,ABCAPITAL26MAR340PE,42.85,49.25,39.35,48.9,48.05,35.1,292.25,292.25,458800,-40300,21,25129840.0,20,F1,3100,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,76062,,ABCAPITAL,,2026-05-26,2026-05-26,290.0,CE,ABCAPITAL26MAY290CE,0.0,0.0,0.0,68.05,0.0,68.05,292.25,17.5,0,0,0,0.0,0,F1,3100,,,,,
