TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-23,2026-04-23,FO,NSE,STO,76094,,ABCAPITAL,,2026-04-28,2026-04-28,320.0,PE,ABCAPITAL26APR320PE,0.25,0.35,0.2,0.25,0.25,0.35,349.75,0.25,527000,-604500,276,274019850.0,118,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83367,,ABCAPITAL,,2026-06-30,2026-06-30,300.0,CE,ABCAPITAL26JUN300CE,0.0,0.0,0.0,21.75,0.0,21.75,349.75,58.55,0,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83363,,ABCAPITAL,,2026-06-30,2026-06-30,280.0,CE,ABCAPITAL26JUN280CE,0.0,0.0,0.0,31.8,0.0,31.8,349.75,75.35,0,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76066,,ABCAPITAL,,2026-05-26,2026-05-26,310.0,CE,ABCAPITAL26MAY310CE,45.6,45.9,45.6,45.9,45.9,44.75,349.75,44.7,37200,6200,2,2205650.0,2,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83240,,ABCAPITAL,,2026-05-26,2026-05-26,295.0,CE,ABCAPITAL26MAY295CE,0.0,0.0,0.0,18.15,0.0,18.15,349.75,57.75,0,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76107,,ABCAPITAL,,2026-04-28,2026-04-28,390.0,CE,ABCAPITAL26APR390CE,0.1,0.15,0.05,0.05,0.05,0.15,349.75,0.1,235600,-21700,29,35069990.0,17,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76093,,ABCAPITAL,,2026-04-28,2026-04-28,320.0,CE,ABCAPITAL26APR320CE,30.4,31.75,30.4,31.2,31.2,31.65,349.75,30.2,328600,-18600,6,6527825.0,5,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83376,,ABCAPITAL,,2026-06-30,2026-06-30,340.0,PE,ABCAPITAL26JUN340PE,0.0,0.0,0.0,15.0,15.0,15.0,349.75,17.85,9300,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76104,,ABCAPITAL,,2026-04-28,2026-04-28,370.0,PE,ABCAPITAL26APR370PE,19.3,19.75,19.3,19.75,19.75,19.3,349.75,21.0,80600,-3100,2,2415055.0,2,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76010,,ABCAPITAL,,2026-04-28,2026-04-28,355.0,PE,ABCAPITAL26APR355PE,7.5,9.05,7.0,7.85,7.5,8.6,349.75,7.85,89900,-18600,85,95640270.0,85,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76004,,ABCAPITAL,,2026-04-28,2026-04-28,335.0,PE,ABCAPITAL26APR335PE,1.3,1.3,0.8,0.9,0.9,1.3,349.75,0.9,688200,49600,266,277020185.0,189,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76082,,ABCAPITAL,,2026-04-28,2026-04-28,260.0,PE,ABCAPITAL26APR260PE,0.0,0.0,0.0,0.1,0.1,0.1,349.75,0.0,96100,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83381,,ABCAPITAL,,2026-06-30,2026-06-30,370.0,CE,ABCAPITAL26JUN370CE,0.0,0.0,0.0,4.3,0.0,4.3,349.75,17.95,0,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83373,,ABCAPITAL,,2026-06-30,2026-06-30,330.0,CE,ABCAPITAL26JUN330CE,0.0,0.0,0.0,11.4,0.0,11.4,349.75,37.35,0,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76069,,ABCAPITAL,,2026-05-26,2026-05-26,320.0,PE,ABCAPITAL26MAY320PE,3.85,4.15,3.45,4.15,4.15,3.7,349.75,4.15,849400,15500,49,49189095.0,48,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83338,,ABCAPITAL,,2026-05-26,2026-05-26,365.0,PE,ABCAPITAL26MAY365PE,0.0,0.0,0.0,70.65,0.0,70.65,349.75,24.85,0,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76147,,ABCAPITAL,,2026-05-26,2026-05-26,370.0,PE,ABCAPITAL26MAY370PE,23.0,26.8,23.0,26.1,26.1,24.6,349.75,28.15,68200,-9300,25,30658380.0,24,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83366,,ABCAPITAL,,2026-06-30,2026-06-30,290.0,PE,ABCAPITAL26JUN290PE,0.0,0.0,0.0,19.0,0.0,19.0,349.75,3.65,0,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83370,,ABCAPITAL,,2026-06-30,2026-06-30,310.0,PE,ABCAPITAL26JUN310PE,0.0,0.0,0.0,29.9,0.0,29.9,349.75,7.6,0,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STF,62333,,ABCAPITAL,,2026-06-30,2026-06-30,,,ABCAPITAL26JUNFUT,357.0,357.0,353.7,353.7,353.7,353.85,349.75,353.85,117800,3100,5,5511490.0,5,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,75988,,ABCAPITAL,,2026-04-28,2026-04-28,315.0,CE,ABCAPITAL26APR315CE,0.0,0.0,0.0,29.2,29.2,29.2,349.75,35.1,331700,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76058,,ABCAPITAL,,2026-05-26,2026-05-26,270.0,CE,ABCAPITAL26MAY270CE,0.0,0.0,0.0,85.45,0.0,85.45,349.75,81.5,0,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83238,,ABCAPITAL,,2026-05-26,2026-05-26,285.0,CE,ABCAPITAL26MAY285CE,0.0,0.0,0.0,23.25,0.0,23.25,349.75,67.05,0,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83329,,ABCAPITAL,,2026-05-26,2026-05-26,325.0,CE,ABCAPITAL26MAY325CE,0.0,0.0,0.0,28.0,28.0,28.0,349.75,33.1,3100,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83333,,ABCAPITAL,,2026-05-26,2026-05-26,345.0,CE,ABCAPITAL26MAY345CE,18.55,18.55,18.55,18.55,18.55,18.35,349.75,20.5,3100,0,1,1127005.0,1,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76057,,ABCAPITAL,,2026-05-26,2026-05-26,260.0,PE,ABCAPITAL26MAY260PE,0.0,0.0,0.0,2.65,2.65,2.65,349.75,0.1,3100,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76061,,ABCAPITAL,,2026-05-26,2026-05-26,280.0,PE,ABCAPITAL26MAY280PE,0.0,0.0,0.0,1.55,1.55,1.55,349.75,0.5,24800,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76067,,ABCAPITAL,,2026-05-26,2026-05-26,310.0,PE,ABCAPITAL26MAY310PE,2.3,2.75,2.3,2.7,2.7,2.45,349.75,3.2,46500,6200,15,14534505.0,15,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83328,,ABCAPITAL,,2026-05-26,2026-05-26,315.0,PE,ABCAPITAL26MAY315PE,0.0,0.0,0.0,29.7,0.0,29.7,349.75,4.1,0,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76085,,ABCAPITAL,,2026-04-28,2026-04-28,280.0,CE,ABCAPITAL26APR280CE,0.0,0.0,0.0,68.2,68.2,68.2,349.75,70.0,24800,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83375,,ABCAPITAL,,2026-06-30,2026-06-30,340.0,CE,ABCAPITAL26JUN340CE,0.0,0.0,0.0,9.05,0.0,9.05,349.75,31.55,0,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76062,,ABCAPITAL,,2026-05-26,2026-05-26,290.0,CE,ABCAPITAL26MAY290CE,0.0,0.0,0.0,68.05,0.0,68.05,349.75,62.35,0,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83379,,ABCAPITAL,,2026-06-30,2026-06-30,360.0,CE,ABCAPITAL26JUN360CE,0.0,0.0,0.0,5.55,0.0,5.55,349.75,21.85,0,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76080,,ABCAPITAL,,2026-04-28,2026-04-28,250.0,PE,ABCAPITAL26APR250PE,0.0,0.0,0.0,0.05,0.05,0.05,349.75,0.0,210800,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83386,,ABCAPITAL,,2026-06-30,2026-06-30,400.0,PE,ABCAPITAL26JUN400PE,0.0,0.0,0.0,102.5,0.0,102.5,349.75,55.1,0,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83362,,ABCAPITAL,,2026-06-30,2026-06-30,270.0,PE,ABCAPITAL26JUN270PE,0.0,0.0,0.0,10.8,0.0,10.8,349.75,1.5,0,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83334,,ABCAPITAL,,2026-05-26,2026-05-26,345.0,PE,ABCAPITAL26MAY345PE,11.55,11.55,10.05,10.05,10.05,14.25,349.75,13.85,9300,6200,3,3307390.0,3,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76073,,ABCAPITAL,,2026-05-26,2026-05-26,340.0,PE,ABCAPITAL26MAY340PE,8.75,10.15,8.2,10.0,10.0,9.4,349.75,10.0,213900,37200,43,46575020.0,38,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,75987,,ABCAPITAL,,2026-04-28,2026-04-28,305.0,PE,ABCAPITAL26APR305PE,0.15,0.15,0.1,0.1,0.1,0.15,349.75,0.1,201500,-6200,2,1891775.0,2,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76074,,ABCAPITAL,,2026-05-26,2026-05-26,350.0,CE,ABCAPITAL26MAY350CE,15.85,18.15,15.15,15.9,15.65,16.55,349.75,15.9,827700,12400,179,203381235.0,153,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76158,,ABCAPITAL,,2026-05-26,2026-05-26,400.0,CE,ABCAPITAL26MAY400CE,2.5,2.9,2.3,2.5,2.45,10.6,349.75,2.5,68200,68200,37,46161480.0,34,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83340,,ABCAPITAL,,2026-05-26,2026-05-26,375.0,PE,ABCAPITAL26MAY375PE,0.0,0.0,0.0,79.95,0.0,79.95,349.75,31.6,0,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83330,,ABCAPITAL,,2026-05-26,2026-05-26,325.0,PE,ABCAPITAL26MAY325PE,0.0,0.0,0.0,6.15,6.15,6.15,349.75,6.5,3100,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83364,,ABCAPITAL,,2026-06-30,2026-06-30,280.0,PE,ABCAPITAL26JUN280PE,0.0,0.0,0.0,14.55,0.0,14.55,349.75,2.35,0,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76081,,ABCAPITAL,,2026-04-28,2026-04-28,260.0,CE,ABCAPITAL26APR260CE,0.0,0.0,0.0,48.05,48.05,48.05,349.75,90.0,18600,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83331,,ABCAPITAL,,2026-05-26,2026-05-26,335.0,CE,ABCAPITAL26MAY335CE,0.0,0.0,0.0,22.6,22.6,22.6,349.75,26.35,0,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76100,,ABCAPITAL,,2026-04-28,2026-04-28,350.0,PE,ABCAPITAL26APR350PE,7.0,7.25,3.9,5.1,5.4,5.65,349.75,5.1,592100,161200,733,806508245.0,689,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76098,,ABCAPITAL,,2026-04-28,2026-04-28,340.0,PE,ABCAPITAL26APR340PE,2.4,2.45,1.4,1.65,1.75,2.25,349.75,1.65,1618200,-31000,596,631335770.0,414,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,75989,,ABCAPITAL,,2026-04-28,2026-04-28,315.0,PE,ABCAPITAL26APR315PE,0.2,0.2,0.15,0.15,0.15,0.2,349.75,0.15,244900,-3100,4,3908015.0,3,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83365,,ABCAPITAL,,2026-06-30,2026-06-30,290.0,CE,ABCAPITAL26JUN290CE,0.0,0.0,0.0,26.45,0.0,26.45,349.75,66.75,0,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83335,,ABCAPITAL,,2026-05-26,2026-05-26,355.0,CE,ABCAPITAL26MAY355CE,15.95,15.95,13.3,13.8,13.45,13.8,349.75,13.8,58900,49600,27,30919400.0,26,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83236,,ABCAPITAL,,2026-05-26,2026-05-26,275.0,CE,ABCAPITAL26MAY275CE,0.0,0.0,0.0,69.8,69.8,69.8,349.75,76.65,3100,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76007,,ABCAPITAL,,2026-04-28,2026-04-28,355.0,CE,ABCAPITAL26APR355CE,4.3,5.0,2.3,2.55,2.5,4.1,349.75,2.55,1348500,96100,1883,2093540050.0,1694,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76099,,ABCAPITAL,,2026-04-28,2026-04-28,350.0,CE,ABCAPITAL26APR350CE,6.4,7.7,4.05,4.5,4.45,6.4,349.75,4.5,1078800,-164300,1087,1197962605.0,1036,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76087,,ABCAPITAL,,2026-04-28,2026-04-28,290.0,CE,ABCAPITAL26APR290CE,0.0,0.0,0.0,61.75,61.75,61.75,349.75,60.0,182900,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83384,,ABCAPITAL,,2026-06-30,2026-06-30,380.0,PE,ABCAPITAL26JUN380PE,0.0,0.0,0.0,84.25,0.0,84.25,349.75,40.45,0,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76103,,ABCAPITAL,,2026-04-28,2026-04-28,370.0,CE,ABCAPITAL26APR370CE,0.6,0.95,0.3,0.35,0.3,0.8,349.75,0.35,1147000,-3100,605,694962960.0,363,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76075,,ABCAPITAL,,2026-05-26,2026-05-26,350.0,PE,ABCAPITAL26MAY350PE,13.4,14.7,12.3,14.35,14.45,13.4,349.75,14.35,204600,12400,69,77837900.0,58,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83241,,ABCAPITAL,,2026-05-26,2026-05-26,295.0,PE,ABCAPITAL26MAY295PE,0.0,0.0,0.0,4.35,4.35,4.35,349.75,1.35,6200,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76063,,ABCAPITAL,,2026-05-26,2026-05-26,290.0,PE,ABCAPITAL26MAY290PE,0.0,0.0,0.0,3.65,3.65,3.65,349.75,1.0,6200,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,83239,,ABCAPITAL,,2026-05-26,2026-05-26,285.0,PE,ABCAPITAL26MAY285PE,0.0,0.0,0.0,3.85,3.85,3.85,349.75,0.7,6200,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76016,,ABCAPITAL,,2026-04-28,2026-04-28,385.0,PE,ABCAPITAL26APR385PE,0.0,0.0,0.0,41.0,41.0,41.0,349.75,35.1,12400,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,75922,,ABCAPITAL,,2026-04-28,2026-04-28,285.0,PE,ABCAPITAL26APR285PE,0.05,0.05,0.05,0.05,0.05,0.05,349.75,0.0,111600,-9300,4,3534620.0,4,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,75916,,ABCAPITAL,,2026-04-28,2026-04-28,265.0,PE,ABCAPITAL26APR265PE,0.0,0.0,0.0,0.35,0.35,0.35,349.75,0.0,52700,0,0,0.0,0,F1,3100,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,76156,,ABCAPITAL,,2026-05-26,2026-05-26,390.0,CE,ABCAPITAL26MAY390CE,3.05,4.45,3.05,3.75,3.75,3.9,349.75,3.75,158100,18600,19,23196835.0,17,F1,3100,,,,,
