TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-30,2026-06-30,FO,NSE,STO,65746,,ABCAPITAL,,2026-07-28,2026-07-28,360.0,CE,ABCAPITAL26JUL360CE,36.0,40.65,36.0,37.5,37.5,36.0,391.95,37.5,161200,-9300,15,18475690.0,9,F1,3100,,,,,
2026-06-30,2026-06-30,FO,NSE,STO,67142,,ABCAPITAL,,2026-07-28,2026-07-28,325.0,CE,ABCAPITAL26JUL325CE,0.0,0.0,0.0,49.35,0.0,49.35,391.95,69.3,0,0,0,0.0,0,F1,3100,,,,,
2026-06-30,2026-06-30,FO,NSE,STO,65738,,ABCAPITAL,,2026-07-28,2026-07-28,320.0,CE,ABCAPITAL26JUL320CE,0.0,0.0,0.0,71.8,71.8,71.8,391.95,74.05,6200,0,0,0.0,0,F1,3100,,,,,
2026-06-30,2026-06-30,FO,NSE,STO,65628,,ABCAPITAL,,2026-06-30,2026-06-30,415.0,CE,ABCAPITAL26JUN415CE,0.05,0.05,0.05,0.05,0.05,0.05,391.95,391.95,275900,0,4,5146620.0,2,F1,3100,,,,,
2026-06-30,2026-06-30,FO,NSE,STO,67221,,ABCAPITAL,,2026-08-25,2026-08-25,310.0,PE,ABCAPITAL26AUG310PE,0.0,0.0,0.0,7.35,0.0,7.35,391.95,1.6,0,0,0,0.0,0,F1,3100,,,,,
2026-06-30,2026-06-30,FO,NSE,STO,65765,,ABCAPITAL,,2026-07-28,2026-07-28,440.0,PE,ABCAPITAL26JUL440PE,0.0,0.0,0.0,53.0,53.0,53.0,391.95,50.1,0,0,0,0.0,0,F1,3100,,,,,
2026-06-30,2026-06-30,FO,NSE,STO,65763,,ABCAPITAL,,2026-07-28,2026-07-28,430.0,PE,ABCAPITAL26JUL430PE,0.0,0.0,0.0,90.75,0.0,90.75,391.95,41.9,0,0,0,0.0,0,F1,3100,,,,,
2026-06-30,2026-06-30,FO,NSE,STO,67153,,ABCAPITAL,,2026-07-28,2026-07-28,375.0,PE,ABCAPITAL26JUL375PE,8.55,9.05,6.0,6.5,6.45,9.35,391.95,6.5,406100,40300,176,208342010.0,141,F1,3100,,,,,
2026-06-30,2026-06-30,FO,NSE,STO,67157,,ABCAPITAL,,2026-07-28,2026-07-28,395.0,CE,ABCAPITAL26JUL395CE,12.1,16.25,12.1,13.75,14.0,12.85,391.95,13.75,257300,102300,339,430311465.0,307,F1,3100,,,,,
2026-06-30,2026-06-30,FO,NSE,STO,67140,,ABCAPITAL,,2026-07-28,2026-07-28,315.0,CE,ABCAPITAL26JUL315CE,0.0,0.0,0.0,74.95,74.95,74.95,391.95,78.85,6200,0,0,0.0,0,F1,3100,,,,,
