Symbol,1st_Expiry_Date,1st_Close,1st_OI,1st_OI_Chg,2nd_Expiry_Date,2nd_Close,2nd_OI,2nd_OI_Chg,3rd_Expiry_Date,3rd_Close,3rd_OI,3rd_OI_Chg,Total_Futures_OI,Total_Futures_OI_Chg,Combine_CE_OI,Combine_CE_OI_Chg,Combine_PE_OI,Combine_PE_OI_Chg,PCR_OI
360ONE,2026-06-30,0,5265500,285500,2026-07-28,0,36500,6500,2026-08-25,0,3000,0,5305000,292000,844500,77500,393500,40500,0.47
ABB,2026-06-30,0,2248250,28000,2026-07-28,0,77375,29375,2026-08-25,0,8875,-125,2334500,57250,1015125,52125,608000,-7625,0.6
ABCAPITAL,2026-06-30,0,51949800,-734700,2026-07-28,0,1779400,-6200,2026-08-25,0,80600,0,53809800,-740900,9789800,-96100,7632200,68200,0.78
ADANIENSOL,2026-06-30,0,20020500,-205875,2026-07-28,0,155925,3375,2026-08-25,0,30375,1350,20206800,-201150,6135750,64800,2776950,3375,0.45
ADANIENT,2026-06-30,0,18620958,-210738,2026-07-28,0,643956,309,2026-08-25,0,23484,618,19288398,-209811,6660804,188181,5353734,262341,0.8
ADANIGREEN,2026-06-30,0,22333800,200400,2026-07-28,0,508800,10800,2026-08-25,0,43800,7800,22886400,219000,7248000,280800,4828800,315000,0.67
ADANIPORTS,2026-06-30,0,21422975,125400,2026-07-28,0,1362300,92150,2026-08-25,0,38950,950,22824225,218500,6620550,550525,3460375,161025,0.52
ADANIPOWER,2026-06-30,0,94043050,465050,2026-07-28,0,8452550,159750,2026-08-25,0,507650,63900,103003250,688700,40580050,2012850,24502100,866200,0.6
ALKEM,2026-06-30,0,1334625,3625,2026-07-28,0,12875,-375,2026-08-25,0,2125,0,1349625,3250,735875,-15750,374750,12250,0.51
AMBER,2026-06-30,0,2667400,-51800,2026-07-28,0,16900,-600,2026-08-25,0,400,0,2684700,-52400,1831100,-12700,1224200,-1500,0.67
AMBUJACEM,2026-06-30,0,70292250,1248450,2026-07-28,0,5475600,152400,2026-08-25,0,79200,8400,75847050,1409250,14352300,214950,9477450,210450,0.66
ANGELONE,2026-06-30,0,19205000,12500,2026-07-28,0,742500,-10000,2026-08-25,0,90000,2500,20037500,5000,18957500,-20000,11927500,312500,0.63
APLAPOLLO,2026-06-30,0,5767650,-56350,2026-07-28,0,85400,350,2026-08-25,0,18900,0,5871950,-56000,1013600,-3150,812700,2100,0.8
APOLLOHOSP,2026-06-30,0,1744500,5125,2026-07-28,0,222625,-750,2026-08-25,0,5000,125,1972125,4500,1112500,9750,825250,5375,0.74
ASHOKLEY,2026-06-30,0,193325000,5750000,2026-07-28,0,11710000,685000,2026-08-25,0,2125000,155000,207160000,6590000,152415000,9635000,83775000,3235000,0.55
ASIANPAINT,2026-06-30,0,10550750,-424500,2026-07-28,0,283000,1750,2026-08-25,0,20500,0,10854250,-422750,5609250,16500,3087000,-53250,0.55
ASTRAL,2026-06-30,0,6130625,-178500,2026-07-28,0,333625,17850,2026-08-25,0,14875,-425,6479125,-161075,1735275,39525,1171300,58225,0.67
AUBANK,2026-06-30,0,27371000,100000,2026-07-28,0,996000,28000,2026-08-25,0,104000,3000,28471000,131000,4308000,214000,3224000,76000,0.75
AUROPHARMA,2026-06-30,0,17123150,60500,2026-07-28,0,74250,4400,2026-08-25,0,4400,2200,17201800,67100,3251050,-119350,2063600,84150,0.63
AXISBANK,2026-06-30,0,59760000,840625,2026-07-28,0,8851875,135000,2026-08-25,0,215625,33125,68827500,1008750,14041875,1126875,8737500,221875,0.62
BAJAJ-AUTO,2026-06-30,0,2713275,9150,2026-07-28,0,87075,3150,2026-08-25,0,4125,75,2804475,12375,1605450,-45375,925275,-13350,0.58
BAJAJFINSV,2026-06-30,0,9225750,135250,2026-07-28,0,1845300,11400,2026-08-25,0,18600,7800,11089650,154450,5363450,343100,3055500,1700,0.57
BAJAJHLDNG,2026-06-30,0,290500,3400,2026-07-28,0,2775,525,2026-08-25,0,525,525,293800,4450,70325,24650,41250,4300,0.59
BAJFINANCE,2026-06-30,0,74300250,517500,2026-07-28,0,1743000,41250,2026-08-25,0,180000,17250,76223250,576000,17853750,784500,13962750,177000,0.78
BANDHANBNK,2026-06-30,0,106905600,1040400,2026-07-28,0,2008800,183600,2026-08-25,0,262800,32400,109177200,1256400,28681200,1029600,15404400,388800,0.54
BANKBARODA,2026-06-30,0,120281850,-587925,2026-07-28,0,3065400,-81900,2026-08-25,0,435825,-2925,123783075,-672750,28770300,1298700,28676700,1123200,1.0
BANKINDIA,2026-06-30,0,68744000,1643200,2026-07-28,0,1518400,36400,2026-08-25,0,260000,10400,70522400,1690000,21720400,1575600,18330000,1180400,0.84
BANKNIFTY,2026-06-30,0,2481900,-35850,2026-07-28,0,167430,4620,2026-08-25,0,26790,720,2676120,-30510,16319820,201030,14234580,183600,0.87
BDL,2026-06-30,0,6239450,87500,2026-07-28,0,686800,94350,2026-08-25,0,133875,-9775,7060125,172075,4397050,-446425,2925125,-67950,0.67
BEL,2026-06-30,0,111831150,34200,2026-07-28,0,5125725,68400,2026-08-25,0,642675,28500,117599550,131100,44995800,1537575,29028675,262200,0.65
BHARATFORG,2026-06-30,0,6731000,69500,2026-07-28,0,97500,12500,2026-08-25,0,6000,2500,6834500,84500,1875000,110000,1401000,-1500,0.75
BHARTIARTL,2026-06-30,0,54074950,-128725,2026-07-28,0,901550,34675,2026-08-25,0,6814350,12825,61790850,-81225,13557450,1128125,7905425,190000,0.58
BHEL,2026-06-30,0,112539000,-1598625,2026-07-28,0,1517250,102375,2026-08-25,0,273000,78750,114329250,-1417500,32529000,7557375,21244125,1669500,0.65
BIOCON,2026-06-30,0,40897500,535000,2026-07-28,0,817500,17500,2026-08-25,0,60000,-7500,41775000,545000,14867500,1140000,9022500,427500,0.61
BLUESTARCO,2026-06-30,0,2740400,220025,2026-07-28,0,69550,15275,2026-08-25,0,9100,2600,2819050,237900,1330875,313300,791375,126425,0.59
BOSCHLTD,2026-06-30,0,318375,-650,2026-07-28,0,6875,775,2026-08-25,0,450,75,325700,200,172600,25950,150425,1375,0.87
BPCL,2026-06-30,0,49177500,823575,2026-07-28,0,2861775,0,2026-08-25,0,65175,9875,52104450,833450,13240400,795925,9367425,120475,0.71
BRITANNIA,2026-06-30,0,2705250,30250,2026-07-28,0,53875,1625,2026-08-25,0,13125,1250,2772250,33125,1253500,69375,880375,54625,0.7
BSE,2026-06-30,0,8617125,-427500,2026-07-28,0,354200,19800,2026-08-25,0,45800,3000,9017125,-404700,8459575,-216350,5714550,-42775,0.68
CAMS,2026-06-30,0,5548500,117000,2026-07-28,0,272250,6600,2026-08-25,0,42075,1650,5862825,125250,1813500,9300,1262700,33300,0.7
CANBK,2026-06-30,0,278559000,2578500,2026-07-28,0,10624500,13500,2026-08-25,0,1100250,-27000,290283750,2565000,60925500,290250,56099250,3010500,0.92
CDSL,2026-06-30,0,10934500,14250,2026-07-28,0,1134300,23275,2026-08-25,0,218500,6650,12287300,44175,7093175,233225,4440775,165300,0.63
CGPOWER,2026-06-30,0,18048050,-274550,2026-07-28,0,2532150,18700,2026-08-25,0,63750,7650,20643950,-248200,6141250,657050,3963550,402900,0.65
CHOLAFIN,2026-06-30,0,15317500,-193750,2026-07-28,0,2416875,8750,2026-08-25,0,3750,1250,17738125,-183750,3000625,67500,2151250,55625,0.72
CIPLA,2026-06-30,0,14782500,-84000,2026-07-28,0,1718700,850,2026-08-25,0,7225,1700,16508425,-81450,4346800,-27025,3178475,86075,0.73
COALINDIA,2026-06-30,0,82339200,3871800,2026-07-28,0,4710150,56700,2026-08-25,0,274050,21600,87323400,3950100,45353250,965250,48325950,4789800,1.07
COCHINSHIP,2026-06-30,0,3256800,89600,2026-07-28,0,282400,34400,2026-08-25,0,16000,2000,3555200,126000,1084000,48400,656800,-26800,0.61
COFORGE,2026-06-30,0,15519750,130875,2026-07-28,0,383800,14250,2026-08-25,0,85500,7125,15989050,152250,6866775,54775,4135250,66025,0.6
COLPAL,2026-06-30,0,4689450,-83250,2026-07-28,0,128150,7975,2026-08-25,0,8250,825,4825850,-74450,1828675,-14350,1160850,-4450,0.63
CONCOR,2026-06-30,0,25646250,241250,2026-07-28,0,1016250,61250,2026-08-25,0,106250,0,26768750,302500,12757500,431250,7003750,275000,0.55
CROMPTON,2026-06-30,0,52083000,804600,2026-07-28,0,1350200,55900,2026-08-25,0,129000,27950,53562200,888450,8888750,685800,3602800,259900,0.41
CUMMINSIND,2026-06-30,0,3673800,-16000,2026-07-28,0,45400,14200,2026-08-25,0,18600,11800,3737800,10000,1569400,14800,1032000,39800,0.66
DABUR,2026-06-30,0,20882500,-506250,2026-07-28,0,2650000,18750,2026-08-25,0,147500,5000,23680000,-482500,9891250,-228750,6901250,242500,0.7
DALBHARAT,2026-06-30,0,3668925,54925,2026-07-28,0,52000,5525,2026-08-25,0,3575,325,3724500,60775,580775,34775,536900,34775,0.92
DELHIVERY,2026-06-30,0,28381850,-192975,2026-07-28,0,286350,-4150,2026-08-25,0,16600,0,28684800,-197125,8719150,205425,3849125,51875,0.44
DIVISLAB,2026-06-30,0,2618600,68000,2026-07-28,0,84500,24800,2026-08-25,0,1700,-100,2704800,92700,1061100,61100,1101100,190100,1.04
DIXON,2026-06-30,0,2521950,-33450,2026-07-28,0,102300,-1200,2026-08-25,0,10600,500,2634850,-34150,1172600,-30150,896250,38300,0.76
DLF,2026-06-30,0,40197300,489225,2026-07-28,0,904400,43700,2026-08-25,0,1838250,30400,42939950,563325,7682500,404875,5736550,537825,0.75
DMART,2026-06-30,0,3284850,-79650,2026-07-28,0,43650,750,2026-08-25,0,4500,1350,3333000,-77550,1091550,-34500,656700,-36600,0.6
DRREDDY,2026-06-30,0,15429375,-79375,2026-07-28,0,208750,20000,2026-08-25,0,9375,3750,15647500,-55625,6685625,710000,3353125,81250,0.5
EICHERMOT,2026-06-30,0,3289800,22200,2026-07-28,0,52200,19100,2026-08-25,0,10700,200,3352700,41500,1495300,33900,1132200,27900,0.76
ETERNAL,2026-06-30,0,213931075,5167675,2026-07-28,0,8041300,278875,2026-08-25,0,664450,65475,222636825,5512025,43953125,5073100,34956375,2517150,0.8
FEDERALBNK,2026-06-30,0,114612500,825000,2026-07-28,0,2112500,197500,2026-08-25,0,565000,102500,117290000,1125000,30800000,7040000,19675000,795000,0.64
FINNIFTY,2026-06-30,0,41160,1020,2026-07-28,0,60,0,2026-08-25,0,60,60,41280,1080,281940,56220,229020,12540,0.81
FORCEMOT,2026-06-30,0,237300,-14125,2026-07-28,0,14975,-600,2026-08-25,0,1225,-200,253500,-14925,141525,-2225,69750,15175,0.49
