Symbol,1st_Expiry_Date,1st_Close,1st_OI,1st_OI_Chg,2nd_Expiry_Date,2nd_Close,2nd_OI,2nd_OI_Chg,3rd_Expiry_Date,3rd_Close,3rd_OI,3rd_OI_Chg,Total_Futures_OI,Total_Futures_OI_Chg,Combine_CE_OI,Combine_CE_OI_Chg,Combine_PE_OI,Combine_PE_OI_Chg,PCR_OI
360ONE,2026-09-29,0,3642500,-52000,2026-10-27,0,131000,15000,2026-11-23,0,24000,3000,3797500,-34000,2544000,33500,1914500,-26000,0.75
ABB,2026-09-29,0,1628750,17875,2026-10-27,0,126500,51625,2026-11-23,0,10125,2750,1765375,72250,1478750,213750,957125,-40000,0.65
ABCAPITAL,2026-09-29,0,35380300,173600,2026-10-27,0,2151400,300700,2026-11-23,0,217000,43400,37748700,517700,15450400,812200,13894200,-378200,0.9
ADANIENSOL,2026-09-29,0,19656675,-2945700,2026-10-27,0,4157325,3431700,2026-11-23,0,193050,137700,24007050,623700,8682525,-3375,4143825,-149850,0.48
ADANIENT,2026-09-29,0,13632462,-1082736,2026-10-27,0,1968639,763848,2026-11-23,0,889611,468135,16490712,149247,9073785,531171,5356206,112785,0.59
ADANIGREEN,2026-09-29,0,21112800,-2662800,2026-10-27,0,3654000,2894400,2026-11-23,0,88200,9600,24855000,241200,6204600,318600,3734400,26400,0.6
ADANIPORTS,2026-09-29,0,14453300,-237975,2026-10-27,0,1841575,385225,2026-11-23,0,754775,148675,17049650,295925,9498575,-9500,7999950,-5700,0.84
ADANIPOWER,2026-09-29,0,180883150,-2186800,2026-10-27,0,18310900,3528700,2026-11-23,0,2172600,110050,201366650,1451950,60602050,-7845500,36419450,-2190350,0.6
ALKEM,2026-09-29,0,1644625,-125,2026-10-27,0,117375,4000,2026-11-23,0,1250,-125,1763250,3750,374750,19250,307000,-26750,0.82
AMBER,2026-09-29,0,1222400,-22700,2026-10-27,0,63700,19400,2026-11-23,0,6300,800,1292400,-2500,988300,48200,600600,17500,0.61
AMBUJACEM,2026-09-29,0,87674400,-1762800,2026-10-27,0,10918800,2344800,2026-11-23,0,735600,313200,99328800,895200,18757200,414000,11280000,222000,0.6
ANGELONE,2026-09-29,0,26687500,-582500,2026-10-27,0,3490000,555000,2026-11-23,0,415000,32500,30592500,5000,27195000,-377500,13002500,-615000,0.48
APLAPOLLO,2026-09-29,0,10823050,-2855300,2026-10-27,0,3211950,2935450,2026-11-23,0,220150,103600,14255150,183750,3082100,78750,1713250,24150,0.56
APOLLOHOSP,2026-09-29,0,1957625,-56625,2026-10-27,0,426125,30125,2026-11-23,0,211875,2750,2595625,-23750,1320000,72000,979000,-100500,0.74
ASHOKLEY,2026-09-29,0,119940000,-2605000,2026-10-27,0,17690000,4445000,2026-11-23,0,2040000,135000,139670000,1975000,104620000,-1370000,69930000,565000,0.67
