Symbol,1st_Expiry_Date,1st_Close,1st_OI,1st_OI_Chg,2nd_Expiry_Date,2nd_Close,2nd_OI,2nd_OI_Chg,3rd_Expiry_Date,3rd_Close,3rd_OI,3rd_OI_Chg,Total_Futures_OI,Total_Futures_OI_Chg,Combine_CE_OI,Combine_CE_OI_Chg,Combine_PE_OI,Combine_PE_OI_Chg,PCR_OI
360ONE,2026-09-29,0,3871500,201500,2026-10-27,0,103500,31000,2026-11-23,0,8000,2000,3983000,234500,2621500,90000,1735000,60000,0.66
ABB,2026-09-29,0,1742750,2875,2026-10-27,0,42750,2875,2026-11-23,0,4875,625,1790375,6375,843500,45125,769500,-8375,0.91
ABCAPITAL,2026-09-29,0,37643300,192200,2026-10-27,0,1078800,12400,2026-11-23,0,105400,0,38827500,204600,12136500,108500,12511600,-21700,1.03
ADANIENSOL,2026-09-29,0,22247325,75600,2026-10-27,0,445500,17550,2026-11-23,0,43875,675,22736700,93825,9686250,797175,4641300,309825,0.48
ADANIENT,2026-09-29,0,15990750,-474006,2026-10-27,0,568251,12978,2026-11-23,0,92082,927,16651083,-460101,7995993,14214,5713410,-450831,0.71
ADANIGREEN,2026-09-29,0,24721800,-156000,2026-10-27,0,381000,2400,2026-11-23,0,48600,3000,25151400,-150600,5374200,-211200,3996000,-170400,0.74
ADANIPORTS,2026-09-29,0,16986950,-964250,2026-10-27,0,863075,37525,2026-11-23,0,561925,-3800,18411950,-930525,8865400,159600,7732050,234175,0.87
ADANIPOWER,2026-09-29,0,183165800,-3518050,2026-10-27,0,8204050,110050,2026-11-23,0,1498100,42600,192867950,-3365400,63083500,631900,41794150,-1608150,0.66
ALKEM,2026-09-29,0,1577125,12625,2026-10-27,0,82625,0,2026-11-23,0,1000,125,1660750,12750,419375,6250,286625,15250,0.68
AMBER,2026-09-29,0,1306000,-6000,2026-10-27,0,26100,700,2026-11-23,0,3100,-200,1335200,-5500,870800,-9700,611200,74600,0.7
AMBUJACEM,2026-09-29,0,91778400,-268800,2026-10-27,0,3444000,182400,2026-11-23,0,235200,33600,95457600,-52800,15334800,718800,9436800,181200,0.62
ANGELONE,2026-09-29,0,29072500,-622500,2026-10-27,0,2277500,5000,2026-11-23,0,272500,-2500,31622500,-620000,26880000,770000,15632500,225000,0.58
APLAPOLLO,2026-09-29,0,12506900,73850,2026-10-27,0,136150,700,2026-11-23,0,9800,350,12652850,74900,2533300,23450,1406300,-30800,0.56
APOLLOHOSP,2026-09-29,0,2283125,-103750,2026-10-27,0,324875,-875,2026-11-23,0,3125,500,2611125,-104125,1303250,134250,1020000,38875,0.78
ASHOKLEY,2026-09-29,0,130940000,-2675000,2026-10-27,0,6770000,35000,2026-11-23,0,1090000,65000,138800000,-2575000,94245000,3320000,57505000,1125000,0.61
ASIANPAINT,2026-09-29,0,7227250,-239250,2026-10-27,0,1104750,-500,2026-11-23,0,20000,3250,8352000,-236500,4823250,53250,3034000,76000,0.63
ASTRAL,2026-09-29,0,5778725,399075,2026-10-27,0,289850,3400,2026-11-23,0,23800,0,6092375,402475,2889575,252450,1479000,37825,0.51
ATHERENERG,2026-09-29,0,3875250,81000,2026-10-27,0,139875,23625,2026-11-23,0,43875,-3750,4059000,100875,5575125,85875,2756625,57750,0.49
AUBANK,2026-09-29,0,20640000,78000,2026-10-27,0,2781000,10000,2026-11-23,0,107000,11000,23528000,99000,8537000,-160000,6264000,29000,0.73
AUROPHARMA,2026-09-29,0,11327250,8800,2026-10-27,0,160050,2750,2026-11-23,0,18150,-550,11505450,11000,6008750,227150,2587750,73700,0.43
AXISBANK,2026-09-29,0,92922500,-1003750,2026-10-27,0,2437500,77500,2026-11-23,0,304375,10625,95664375,-915625,19145625,1993750,11676250,310000,0.61
BAJAJ-AUTO,2026-09-29,0,1592775,-6225,2026-10-27,0,26625,525,2026-11-23,0,10800,0,1630200,-5700,1564425,113175,1190100,37200,0.76
BAJAJFINSV,2026-09-29,0,7760700,-25200,2026-10-27,0,545100,3900,2026-11-23,0,28200,900,8334000,-20400,6097200,43200,2935200,-91500,0.48
BAJFINANCE,2026-09-29,0,60924000,69750,2026-10-27,0,10115250,210750,2026-11-23,0,1034250,55500,72073500,336000,18616500,129000,13237500,42750,0.71
BANDHANBNK,2026-09-29,0,122187600,-1911600,2026-10-27,0,14400000,-61200,2026-11-23,0,619200,0,137206800,-1972800,35434800,-2077200,23443200,-1274400,0.66
BANKBARODA,2026-09-29,0,142160850,-87750,2026-10-27,0,9140625,166725,2026-11-23,0,1131975,49725,152433450,128700,51286950,-669825,42517800,886275,0.83
BANKINDIA,2026-09-29,0,74729200,-915200,2026-10-27,0,3437200,254800,2026-11-23,0,390000,10400,78556400,-650000,31699200,462800,31444400,-135200,0.99
BANKNIFTY,2026-09-29,0,2160930,52110,2026-10-27,0,248010,8490,2026-11-23,0,45840,8100,2454780,68700,17313030,355590,14817900,-153960,0.86
BDL,2026-09-29,0,7773250,97750,2026-10-27,0,848300,85000,2026-11-23,0,119850,13175,8741400,195925,10991775,797725,5532225,202300,0.5
BEL,2026-09-29,0,101032500,-394725,2026-10-27,0,10188750,262200,2026-11-23,0,2289975,106875,113511225,-25650,49352025,2037750,32093850,880650,0.65
BHARATFORG,2026-09-29,0,8280000,-3000,2026-10-27,0,187000,11000,2026-11-23,0,10500,1500,8477500,9500,3572500,8000,2733500,53000,0.77
BHARTIARTL,2026-09-29,0,54187525,-584250,2026-10-27,0,11418050,153900,2026-11-23,0,446975,262200,66052550,-168150,22512150,421800,13401175,-51300,0.6
BHEL,2026-09-29,0,76794375,149625,2026-10-27,0,3186750,136500,2026-11-23,0,223125,5250,80204250,291375,35681625,1538250,22551375,-157500,0.63
BIOCON,2026-09-29,0,54732500,-457500,2026-10-27,0,2372500,165000,2026-11-23,0,202500,12500,57307500,-280000,39807500,2915000,16680000,-72500,0.42
BLUESTARCO,2026-09-29,0,6327425,57525,2026-10-27,0,743600,123825,2026-11-23,0,35750,975,7106775,182325,1800500,72150,1410175,193050,0.78
BOSCHLTD,2026-09-29,0,185200,-3725,2026-10-27,0,18925,250,2026-11-23,0,650,-25,204775,-3500,134825,-1900,164675,22925,1.22
BPCL,2026-09-29,0,31357075,-84925,2026-10-27,0,4738025,37525,2026-11-23,0,65175,13825,36160275,-33575,13378650,383150,10266050,-412775,0.77
BRITANNIA,2026-09-29,0,2285250,38625,2026-10-27,0,37250,2375,2026-11-23,0,7500,2500,2330000,43500,1476375,132875,922625,28375,0.62
BSE,2026-09-29,0,10339200,92200,2026-10-27,0,929800,26400,2026-11-23,0,91200,3200,11360200,121800,10029200,-52800,7326600,98000,0.73
