Symbol,1st_Expiry_Date,1st_Close,1st_OI,1st_OI_Chg,2nd_Expiry_Date,2nd_Close,2nd_OI,2nd_OI_Chg,3rd_Expiry_Date,3rd_Close,3rd_OI,3rd_OI_Chg,Total_Futures_OI,Total_Futures_OI_Chg,Combine_CE_OI,Combine_CE_OI_Chg,Combine_PE_OI,Combine_PE_OI_Chg,PCR_OI
360ONE,2026-05-26,0,5074000,459000,2026-06-30,0,37000,-1500,2026-07-28,0,1500,0,5112500,457500,1010000,-74500,581500,-12000,0.58
ABB,2026-05-26,0,2146500,30000,2026-06-30,0,52750,9750,2026-07-28,0,4625,1125,2203875,40875,1099250,78500,550500,39750,0.5
ABCAPITAL,2026-05-26,0,38207500,-818400,2026-06-30,0,830800,-46500,2026-07-28,0,124000,52700,39162300,-812200,14024400,-1205900,12235700,365800,0.87
ADANIENSOL,2026-05-26,0,20487600,785700,2026-06-30,0,185625,23625,2026-07-28,0,12825,0,20686050,809325,5528925,167400,4300425,108000,0.78
ADANIENT,2026-05-26,0,19257189,-243183,2026-06-30,0,434454,12669,2026-07-28,0,29973,618,19721616,-229896,7301670,-286752,6136122,538896,0.84
ADANIGREEN,2026-05-26,0,21618600,210600,2026-06-30,0,257400,-5400,2026-07-28,0,38400,16200,21914400,221400,7850400,655200,5628600,412200,0.72
ADANIPORTS,2026-05-26,0,20915675,-28975,2026-06-30,0,1062575,57950,2026-07-28,0,63650,950,22041900,29925,8611750,-93575,6781575,138225,0.79
ADANIPOWER,2026-05-26,0,75128650,-386950,2026-06-30,0,3308600,578650,2026-07-28,0,305300,56800,78742550,248500,33100200,1405800,23334150,1775000,0.7
ALKEM,2026-05-26,0,1078500,25250,2026-06-30,0,9625,2125,2026-07-28,0,125,0,1088250,27375,245875,29875,160750,10500,0.65
AMBER,2026-05-26,0,1337900,148600,2026-06-30,0,20400,2000,2026-07-28,0,2300,1200,1360600,151800,849400,386400,429100,195800,0.51
AMBUJACEM,2026-05-26,0,74418750,2018100,2026-06-30,0,1791300,152250,2026-07-28,0,104400,15600,76314450,2185950,21333900,-108150,12153900,554550,0.57
ANGELONE,2026-05-26,0,24577500,22500,2026-06-30,0,642500,17500,2026-07-28,0,130000,12500,25350000,52500,15965000,1147500,7890000,255000,0.49
APLAPOLLO,2026-05-26,0,5523700,-49350,2026-06-30,0,536900,3850,2026-07-28,0,12600,700,6073200,-44800,1899100,107450,999600,14000,0.53
APOLLOHOSP,2026-05-26,0,1831000,-10625,2026-06-30,0,180125,7500,2026-07-28,0,4000,500,2015125,-2625,770500,64000,460875,17875,0.6
ASHOKLEY,2026-05-26,0,129455000,-2015000,2026-06-30,0,9990000,330000,2026-07-28,0,1015000,60000,140460000,-1625000,91810000,3850000,51400000,930000,0.56
ASIANPAINT,2026-05-26,0,12915000,-196000,2026-06-30,0,1205500,19000,2026-07-28,0,23500,2250,14144000,-174750,4351000,468250,3411000,99750,0.78
ASTRAL,2026-05-26,0,8501700,-280500,2026-06-30,0,524875,68850,2026-07-28,0,27625,-2125,9054200,-213775,1773950,186575,1023825,64175,0.58
AUBANK,2026-05-26,0,26145000,181000,2026-06-30,0,1552000,146000,2026-07-28,0,20000,3000,27717000,330000,8129000,-30000,4473000,197000,0.55
AUROPHARMA,2026-05-26,0,18588900,-590700,2026-06-30,0,128150,71500,2026-07-28,0,14850,9900,18731900,-509300,3065150,221650,2463450,769450,0.8
AXISBANK,2026-05-26,0,59293125,460625,2026-06-30,0,9074375,501250,2026-07-28,0,106875,24375,68474375,986250,15970000,-891875,11578750,396250,0.73
BAJAJ-AUTO,2026-05-26,0,2510250,7425,2026-06-30,0,130275,12150,2026-07-28,0,8700,1350,2649225,20925,1755150,265125,1343625,169050,0.77
BAJAJFINSV,2026-05-26,0,10411750,-95500,2026-06-30,0,1037000,12000,2026-07-28,0,22800,-1500,11471550,-85000,2966250,-46250,2923250,1750,0.99
BAJAJHLDNG,2026-05-26,0,267800,10500,2026-06-30,0,2900,300,2026-07-28,0,0,0,270700,10800,69150,6650,30200,5050,0.44
BAJFINANCE,2026-05-26,0,58934250,-899250,2026-06-30,0,10722000,6000,2026-07-28,0,169500,35250,69825750,-858000,16050750,-566250,13792500,831750,0.86
BANDHANBNK,2026-05-26,0,96228000,1472400,2026-06-30,0,2178000,183600,2026-07-28,0,259200,25200,98665200,1681200,43106400,-1911600,32623200,-1576800,0.76
BANKBARODA,2026-05-26,0,105516450,169650,2026-06-30,0,10328175,500175,2026-07-28,0,111150,5850,115955775,675675,33684300,175500,26690625,643500,0.79
BANKINDIA,2026-05-26,0,58032000,3322800,2026-06-30,0,1840800,72800,2026-07-28,0,296400,78000,60169200,3473600,21008000,2007200,14872000,31200,0.71
BANKNIFTY,2026-05-26,0,2177550,-12180,2026-06-30,0,267060,20370,2026-07-28,0,33810,10920,2478420,19110,13784910,-654150,13094130,846480,0.95
