Symbol,1st_Expiry_Date,1st_Close,1st_OI,1st_OI_Chg,2nd_Expiry_Date,2nd_Close,2nd_OI,2nd_OI_Chg,3rd_Expiry_Date,3rd_Close,3rd_OI,3rd_OI_Chg,Total_Futures_OI,Total_Futures_OI_Chg,Combine_CE_OI,Combine_CE_OI_Chg,Combine_PE_OI,Combine_PE_OI_Chg,PCR_OI
360ONE,2026-04-28,0,5245500,103000,2026-05-26,0,610500,75000,2026-06-30,0,6000,1500,5862000,179500,4292000,2313000,3136000,902500,0.73
ABB,2026-04-28,0,2228750,750,2026-05-26,0,198500,25375,2026-06-30,0,19625,1000,2446875,27125,1393000,-32750,1326875,29000,0.95
ABCAPITAL,2026-04-28,0,39630400,-1481800,2026-05-26,0,1320600,353400,2026-06-30,0,105400,-12400,41056400,-1140800,13516000,-716100,10050200,468100,0.74
ADANIENSOL,2026-04-28,0,17535825,-1636200,2026-05-26,0,4363200,1112400,2026-06-30,0,35775,4050,21934800,-519750,4393575,116775,3069225,339525,0.7
ADANIENT,2026-04-28,0,15420336,62418,2026-05-26,0,2234070,421476,2026-06-30,0,118965,19467,17773371,503361,7506846,259869,7367178,113094,0.98
ADANIGREEN,2026-04-28,0,18219600,-2343600,2026-05-26,0,3295800,2472000,2026-06-30,0,110400,14400,21625800,142800,9534000,297600,6750600,-265800,0.71
ADANIPORTS,2026-04-28,0,16334775,-273600,2026-05-26,0,3192950,251750,2026-06-30,0,165300,19000,19693025,-2850,9789275,515850,9266300,745750,0.95
ADANIPOWER,2026-04-28,0,76069400,-1228300,2026-05-26,0,12531500,2698000,2026-06-30,0,610600,-63900,89211500,1405800,37299850,1657850,26376500,1757250,0.71
ALKEM,2026-04-28,0,1146750,-29250,2026-05-26,0,25250,9750,2026-06-30,0,125,0,1172125,-19500,357375,-29875,235000,31625,0.66
AMBER,2026-04-28,0,1223500,41000,2026-05-26,0,163300,85800,2026-06-30,0,10400,1500,1397200,128300,1025300,-55200,698700,-31700,0.68
AMBUJACEM,2026-04-28,0,48644400,-828450,2026-05-26,0,10842300,978600,2026-06-30,0,192150,26250,59678850,176400,10485300,-72450,9754500,-164850,0.93
ANGELONE,2026-04-28,0,22810000,-1222500,2026-05-26,0,5275000,200000,2026-06-30,0,510000,17500,28595000,-1005000,32402500,-3762500,34937500,-497500,1.08
APLAPOLLO,2026-04-28,0,4121600,-50050,2026-05-26,0,162050,67200,2026-06-30,0,490700,1050,4774350,18200,1291150,10500,910000,-5600,0.7
APOLLOHOSP,2026-04-28,0,2153750,-100875,2026-05-26,0,155375,37250,2026-06-30,0,28500,13375,2337625,-50250,876875,-7875,836875,63125,0.95
ASHOKLEY,2026-04-28,0,116425000,-4595000,2026-05-26,0,12805000,535000,2026-06-30,0,2380000,0,131610000,-4060000,98930000,2885000,65100000,-3655000,0.66
ASIANPAINT,2026-04-28,0,11996000,-311250,2026-05-26,0,1644500,170500,2026-06-30,0,790750,34750,14431250,-106000,5193250,376000,6008250,100250,1.16
ASTRAL,2026-04-28,0,10622450,14875,2026-05-26,0,3977150,280925,2026-06-30,0,139825,0,14739425,295800,3793975,-275400,2392750,-100725,0.63
AUBANK,2026-04-28,0,22957000,-27000,2026-05-26,0,1998000,429000,2026-06-30,0,177000,10000,25132000,412000,8511000,1318000,7477000,1722000,0.88
AUROPHARMA,2026-04-28,0,10710150,-5526950,2026-05-26,0,10816850,5790400,2026-06-30,0,18700,-1100,21545700,262350,4212450,-31900,2831400,135300,0.67
AXISBANK,2026-04-28,0,45383125,-827500,2026-05-26,0,17181875,655000,2026-06-30,0,1808750,78750,64373750,-93750,16653125,-320625,14274375,582500,0.86
BAJAJ-AUTO,2026-04-28,0,2683050,-50550,2026-05-26,0,314475,26475,2026-06-30,0,18600,1575,3016125,-22500,1256400,20850,1135125,13500,0.9
BAJAJFINSV,2026-04-28,0,8693500,-272750,2026-05-26,0,1949250,212500,2026-06-30,0,330750,14750,10973500,-45500,3579750,52500,3603000,32000,1.01
BAJAJHLDNG,2026-04-28,0,254450,-5250,2026-05-26,0,36400,3250,2026-06-30,0,1300,100,292150,-1900,76950,1550,51850,-4750,0.67
BAJFINANCE,2026-04-28,0,63462750,-940500,2026-05-26,0,6465000,1173750,2026-06-30,0,532500,29250,70460250,262500,21352500,76500,18054750,977250,0.85
