Symbol,1st_Expiry_Date,1st_Close,1st_OI,1st_OI_Chg,2nd_Expiry_Date,2nd_Close,2nd_OI,2nd_OI_Chg,3rd_Expiry_Date,3rd_Close,3rd_OI,3rd_OI_Chg,Total_Futures_OI,Total_Futures_OI_Chg,Combine_CE_OI,Combine_CE_OI_Chg,Combine_PE_OI,Combine_PE_OI_Chg,PCR_OI
360ONE,2026-07-28,0,5475000,70500,2026-08-25,0,123000,-1000,2026-09-29,0,500,0,5598500,69500,1443500,279500,680500,9500,0.47
ABB,2026-07-28,0,2785750,-24500,2026-08-25,0,247000,13000,2026-09-29,0,9125,750,3041875,-10750,1067875,15125,649000,15250,0.61
ABCAPITAL,2026-07-28,0,36902400,719200,2026-08-25,0,750200,-3100,2026-09-29,0,164300,3100,37816900,719200,12331800,-217000,10056400,18600,0.82
ADANIENSOL,2026-07-28,0,19278675,-60750,2026-08-25,0,151875,8100,2026-09-29,0,14175,-675,19444725,-53325,5993325,4050,2843775,-56025,0.47
ADANIENT,2026-07-28,0,18034476,415296,2026-08-25,0,744072,150483,2026-09-29,0,338046,927,19116594,566706,8571660,143376,5154738,204558,0.6
ADANIGREEN,2026-07-28,0,22111800,256200,2026-08-25,0,325800,20400,2026-09-29,0,42000,3000,22479600,279600,6298200,630000,3930000,159600,0.62
ADANIPORTS,2026-07-28,0,19389025,-91200,2026-08-25,0,1808325,85025,2026-09-29,0,50825,1900,21248175,-4275,6954000,74100,4466900,143450,0.64
ADANIPOWER,2026-07-28,0,141293550,3784300,2026-08-25,0,8317650,230750,2026-09-29,0,450850,42600,150062050,4057650,60974800,2421100,33267050,-106500,0.55
ALKEM,2026-07-28,0,1326250,4250,2026-08-25,0,12500,875,2026-09-29,0,875,0,1339625,5125,311625,54375,157000,13750,0.5
AMBER,2026-07-28,0,1532400,-164900,2026-08-25,0,22400,2300,2026-09-29,0,800,200,1555600,-162400,835200,-18600,521200,18600,0.62
AMBUJACEM,2026-07-28,0,83548800,-61200,2026-08-25,0,1982400,27600,2026-09-29,0,74400,2400,85605600,-31200,13568400,-172800,8550000,120000,0.63
ANGELONE,2026-07-28,0,25360000,757500,2026-08-25,0,1072500,85000,2026-09-29,0,307500,7500,26740000,850000,15585000,-252500,9972500,355000,0.64
APLAPOLLO,2026-07-28,0,5641300,83650,2026-08-25,0,99750,6650,2026-09-29,0,2100,-350,5743150,89950,1294650,138250,952350,44800,0.74
