Symbol,1st_Expiry_Date,1st_Close,1st_OI,1st_OI_Chg,2nd_Expiry_Date,2nd_Close,2nd_OI,2nd_OI_Chg,3rd_Expiry_Date,3rd_Close,3rd_OI,3rd_OI_Chg,Total_Futures_OI,Total_Futures_OI_Chg,Combine_CE_OI,Combine_CE_OI_Chg,Combine_PE_OI,Combine_PE_OI_Chg,PCR_OI
PHOENIXLTD,2026-04-28,0,621600,-886550,2026-05-26,0,2972200,844550,2026-06-30,0,353500,0,3947300,-42000,1081500,-133350,738850,-116200,0.68
PIDILITIND,2026-04-28,0,1090500,-1658000,2026-05-26,0,6740000,1559500,2026-06-30,0,35500,2500,7866000,-96000,1514000,-68000,1183000,-26000,0.78
PIIND,2026-04-28,0,525875,-379050,2026-05-26,0,2551150,564550,2026-06-30,0,45500,7000,3122525,192500,1194375,-47250,751625,-5950,0.63
PNB,2026-04-28,0,66656000,-42664000,2026-05-26,0,187304000,37768000,2026-06-30,0,13312000,800000,267272000,-4096000,84080000,-112000,75016000,-80000,0.89
PNBHOUSING,2026-04-28,0,2067000,-2478450,2026-05-26,0,9326200,1795300,2026-06-30,0,41600,9750,11434800,-673400,4301700,-1261000,4810650,-677300,1.12
POLICYBZR,2026-04-28,0,1083950,-1422750,2026-05-26,0,8129450,1795500,2026-06-30,0,157850,12600,9371250,385350,2067450,73150,1829800,-57400,0.89
POLYCAB,2026-04-28,0,425375,-342500,2026-05-26,0,1492875,423375,2026-06-30,0,21375,1375,1939625,82250,1344500,-69375,1117750,17125,0.83
POWERGRID,2026-04-28,0,10451900,-15827000,2026-05-26,0,64501200,17390700,2026-06-30,0,11339200,2017800,86292300,3581500,41737300,3068500,28482900,2758800,0.68
POWERINDIA,2026-04-28,0,73800,-97550,2026-05-26,0,355550,93900,2026-06-30,0,7800,450,437150,-3200,367500,-1250,446150,-6100,1.21
PREMIERENE,2026-04-28,0,1753175,-2644425,2026-05-26,0,9875050,2976200,2026-06-30,0,29900,11500,11658125,343275,2496650,-252425,1811250,-158125,0.73
PRESTIGE,2026-04-28,0,1163700,-1552050,2026-05-26,0,4881600,1309050,2026-06-30,0,238950,12150,6284250,-230850,2021850,-86400,1461600,-2700,0.72
RBLBANK,2026-04-28,0,19005550,-14312900,2026-05-26,0,48787050,21040725,2026-06-30,0,203200,57150,67995800,6784975,32470725,-498475,28708350,-2571750,0.88
RECLTD,2026-04-28,0,14900200,-17389400,2026-05-26,0,50030400,16844800,2026-06-30,0,2787400,200200,67718000,-344400,27577200,-690200,22300600,-757400,0.81
RELIANCE,2026-04-28,0,17779500,-19630500,2026-05-26,0,73827500,18017500,2026-06-30,0,17232000,2937500,108839000,1324500,77803000,-7260500,47133000,1872000,0.61
RVNL,2026-04-28,0,5185000,-7824775,2026-05-26,0,45275725,4253225,2026-06-30,0,2519300,-128100,52980025,-3699650,21834950,-2104500,17032725,-480375,0.78
SAIL,2026-04-28,0,41054500,-55887700,2026-05-26,0,138635900,42657200,2026-06-30,0,310200,23500,180000600,-13207000,8539900,-864800,7900700,-173900,0.93
SAMMAANCAP,2026-04-28,0,36425300,-10801600,2026-05-26,0,63747500,9060100,2026-06-30,0,3031500,490200,103204300,-1251300,18146000,-1707100,15166100,-554700,0.84
SBICARD,2026-04-28,0,5588800,-7441600,2026-05-26,0,18852000,4803200,2026-06-30,0,1000800,-4800,25441600,-2643200,8778400,747200,6769600,481600,0.77
SBILIFE,2026-04-28,0,3741750,-1819125,2026-05-26,0,8706375,2024625,2026-06-30,0,1217250,22875,13665375,228375,7788375,-353625,3215625,19125,0.41
SBIN,2026-04-28,0,23946750,-14337750,2026-05-26,0,52465500,10525500,2026-06-30,0,16090500,5064750,92502750,1252500,42709500,-4882500,37543500,-815250,0.88
SHREECEM,2026-04-28,0,55900,-104725,2026-05-26,0,337250,95075,2026-06-30,0,1850,825,395000,-8825,63125,-1550,51275,350,0.81
SHRIRAMFIN,2026-04-28,0,4816350,-7559475,2026-05-26,0,33734250,9434700,2026-06-30,0,5172750,235950,43723350,2111175,23118975,2914725,12475650,1309275,0.54
