Symbol,1st_Expiry_Date,1st_Close,1st_OI,1st_OI_Chg,2nd_Expiry_Date,2nd_Close,2nd_OI,2nd_OI_Chg,3rd_Expiry_Date,3rd_Close,3rd_OI,3rd_OI_Chg,Total_Futures_OI,Total_Futures_OI_Chg,Combine_CE_OI,Combine_CE_OI_Chg,Combine_PE_OI,Combine_PE_OI_Chg,PCR_OI
360ONE,2026-06-30,0,5358000,6000,2026-07-28,0,41500,-3000,2026-08-25,0,3500,500,5403000,3500,1143000,111500,387000,-14000,0.34
ABB,2026-06-30,0,2220250,-7750,2026-07-28,0,113625,10750,2026-08-25,0,11375,-250,2345250,2750,1186875,79750,629500,31375,0.53
ABCAPITAL,2026-06-30,0,51689400,-616900,2026-07-28,0,1875500,-55800,2026-08-25,0,89900,-6200,53654800,-678900,12059000,155000,8385500,-204600,0.7
ADANIENSOL,2026-06-30,0,18937800,-348300,2026-07-28,0,172800,12825,2026-08-25,0,32400,0,19143000,-335475,6560325,226800,3028050,-60750,0.46
ADANIENT,2026-06-30,0,18692028,-73233,2026-07-28,0,692469,34917,2026-08-25,0,30591,1545,19415088,-36771,7909782,466590,5659644,167787,0.72
ADANIGREEN,2026-06-30,0,20368200,37800,2026-07-28,0,523800,-2400,2026-08-25,0,48600,-1800,20940600,33600,7603200,-67800,5400000,85200,0.71
ADANIPORTS,2026-06-30,0,20977900,86925,2026-07-28,0,1390325,12350,2026-08-25,0,59850,5700,22428075,104975,6712700,202825,3781950,117325,0.56
ADANIPOWER,2026-06-30,0,98697100,2587950,2026-07-28,0,9247750,351450,2026-08-25,0,820050,81650,108764900,3021050,45475500,1309950,27626100,1721750,0.61
ALKEM,2026-06-30,0,1344875,-5375,2026-07-28,0,12875,125,2026-08-25,0,2125,0,1359875,-5250,712875,8125,416375,-2000,0.58
AMBER,2026-06-30,0,2451800,-66300,2026-07-28,0,14800,0,2026-08-25,0,400,0,2467000,-66300,1762600,-9800,1212600,-3600,0.69
AMBUJACEM,2026-06-30,0,72100350,-189000,2026-07-28,0,5848800,91200,2026-08-25,0,343200,18000,78292350,-79800,18703800,1042350,10445400,78900,0.56
ANGELONE,2026-06-30,0,21122500,780000,2026-07-28,0,752500,-55000,2026-08-25,0,102500,-10000,21977500,715000,19700000,-577500,12925000,112500,0.66
