Symbol,1st_Expiry_Date,1st_Close,1st_OI,1st_OI_Chg,2nd_Expiry_Date,2nd_Close,2nd_OI,2nd_OI_Chg,3rd_Expiry_Date,3rd_Close,3rd_OI,3rd_OI_Chg,Total_Futures_OI,Total_Futures_OI_Chg,Combine_CE_OI,Combine_CE_OI_Chg,Combine_PE_OI,Combine_PE_OI_Chg,PCR_OI
360ONE,2026-07-28,0,5089000,-156000,2026-08-25,0,710500,7500,2026-09-29,0,9500,1500,5809000,-147000,2851000,124500,2296000,-140000,0.81
ABB,2026-07-28,0,2410750,12250,2026-08-25,0,447625,13625,2026-09-29,0,19500,1375,2877875,27250,2188250,-2375,1663000,-131125,0.76
ABCAPITAL,2026-07-28,0,37500700,-381300,2026-08-25,0,1426000,331700,2026-09-29,0,192200,-6200,39118900,-55800,14737400,148800,10344700,412300,0.7
ADANIENSOL,2026-07-28,0,19440000,-137700,2026-08-25,0,382050,46575,2026-09-29,0,33075,5400,19855125,-85725,7169850,51300,3680775,44550,0.51
ADANIENT,2026-07-28,0,16460121,-190653,2026-08-25,0,1024644,143067,2026-09-29,0,400464,14214,17885229,-33372,8363394,270993,5256399,79413,0.63
ADANIGREEN,2026-07-28,0,23155800,-20400,2026-08-25,0,1308600,300600,2026-09-29,0,104400,3000,24568800,283200,8379600,6000,5680800,121200,0.68
ADANIPORTS,2026-07-28,0,17802525,-226100,2026-08-25,0,2368350,94525,2026-09-29,0,446500,11875,20617375,-119700,7240900,70775,4683025,142025,0.65
ADANIPOWER,2026-07-28,0,146416200,-2545350,2026-08-25,0,16294500,2587950,2026-09-29,0,3248250,138450,165958950,181050,71795200,702900,44733550,386950,0.62
ALKEM,2026-07-28,0,1561750,14500,2026-08-25,0,35750,9750,2026-09-29,0,1000,-250,1598500,24000,466000,-101125,190375,-3250,0.41
AMBER,2026-07-28,0,1235900,-17100,2026-08-25,0,50000,3800,2026-09-29,0,3200,100,1289100,-13200,1136800,-91100,1036300,600,0.91
AMBUJACEM,2026-07-28,0,77785200,-1780800,2026-08-25,0,4209600,1459200,2026-09-29,0,897600,51600,82892400,-270000,19143600,3090000,9290400,637200,0.49
ANGELONE,2026-07-28,0,26902500,505000,2026-08-25,0,2945000,382500,2026-09-29,0,507500,30000,30355000,917500,36320000,-72500,14952500,-435000,0.41
APLAPOLLO,2026-07-28,0,5706050,-33950,2026-08-25,0,134400,14350,2026-09-29,0,5250,350,5845700,-19250,1475950,-117250,1216600,-235550,0.82
APOLLOHOSP,2026-07-28,0,1981500,-36875,2026-08-25,0,234250,45875,2026-09-29,0,137000,-500,2352750,8500,1199750,-60000,1064375,30125,0.89
