Symbol,1st_Expiry_Date,1st_Close,1st_OI,1st_OI_Chg,2nd_Expiry_Date,2nd_Close,2nd_OI,2nd_OI_Chg,3rd_Expiry_Date,3rd_Close,3rd_OI,3rd_OI_Chg,Total_Futures_OI,Total_Futures_OI_Chg,Combine_CE_OI,Combine_CE_OI_Chg,Combine_PE_OI,Combine_PE_OI_Chg,PCR_OI
360ONE,2026-07-28,0,5998000,-953500,2026-08-25,0,123500,500,2026-09-29,0,0,0,6121500,-953000,1141500,96500,579000,45000,0.51
ABB,2026-07-28,0,2738250,95125,2026-08-25,0,85250,8125,2026-09-29,0,6750,875,2830250,104125,985750,80250,564500,61375,0.57
ABCAPITAL,2026-07-28,0,36111900,-434000,2026-08-25,0,691300,3100,2026-09-29,0,102300,3100,36905500,-427800,11318100,-93000,9591400,306900,0.85
ADANIENSOL,2026-07-28,0,19438650,-425925,2026-08-25,0,144450,11475,2026-09-29,0,11475,2025,19594575,-412425,5338575,806625,2506275,316575,0.47
ADANIENT,2026-07-28,0,17838570,155427,2026-08-25,0,427038,70761,2026-09-29,0,30282,8961,18295890,235149,8127627,1105911,4942764,3090,0.61
ADANIGREEN,2026-07-28,0,22231200,-67800,2026-08-25,0,288600,25200,2026-09-29,0,43200,4800,22563000,-37800,5296200,351000,3453000,-25200,0.65
ADANIPORTS,2026-07-28,0,20133350,-801325,2026-08-25,0,1655375,21375,2026-09-29,0,42750,1900,21831475,-778050,6870875,192375,4341025,-193800,0.63
ADANIPOWER,2026-07-28,0,141300650,202350,2026-08-25,0,8097550,1047250,2026-09-29,0,376300,149100,149774500,1398700,57286350,7320100,32209150,3415100,0.56
ALKEM,2026-07-28,0,1331625,9500,2026-08-25,0,11250,250,2026-09-29,0,125,-125,1343000,9625,264375,23250,145500,16125,0.55
AMBER,2026-07-28,0,1725900,-70100,2026-08-25,0,16900,700,2026-09-29,0,600,300,1743400,-69100,764100,-11900,508100,4000,0.66
AMBUJACEM,2026-07-28,0,84532800,-396000,2026-08-25,0,1868400,54000,2026-09-29,0,62400,18000,86463600,-324000,14478000,22800,8715600,-180000,0.6
ANGELONE,2026-07-28,0,23190000,-360000,2026-08-25,0,897500,157500,2026-09-29,0,132500,17500,24220000,-185000,14720000,657500,8710000,637500,0.59
APLAPOLLO,2026-07-28,0,5857950,-100800,2026-08-25,0,96950,1050,2026-09-29,0,2450,700,5957350,-99050,1201900,31500,908950,31150,0.76
APOLLOHOSP,2026-07-28,0,2335500,-14750,2026-08-25,0,32625,500,2026-09-29,0,4000,625,2372125,-13625,878750,18000,889000,9875,1.01
ASHOKLEY,2026-07-28,0,161020000,-1190000,2026-08-25,0,5910000,90000,2026-09-29,0,705000,190000,167635000,-910000,71755000,4090000,52020000,-695000,0.72
ASIANPAINT,2026-07-28,0,8513000,-70250,2026-08-25,0,106750,500,2026-09-29,0,10250,500,8630000,-69250,3167000,11000,2425250,-1750,0.77
ASTRAL,2026-07-28,0,7127250,45900,2026-08-25,0,400775,34850,2026-09-29,0,50575,8500,7578600,89250,4051525,82875,2443750,45475,0.6
AUBANK,2026-07-28,0,22448000,-286000,2026-08-25,0,2972000,87000,2026-09-29,0,67000,4000,25487000,-195000,5033000,-225000,3676000,321000,0.73
AUROPHARMA,2026-07-28,0,12147300,-49500,2026-08-25,0,50050,4950,2026-09-29,0,10450,550,12207800,-44000,3446300,102300,2163700,-32450,0.63
AXISBANK,2026-07-28,0,62418750,203125,2026-08-25,0,1806250,110000,2026-09-29,0,168750,3125,64393750,316250,15052500,-39375,8280625,-33125,0.55
BAJAJ-AUTO,2026-07-28,0,2962950,-68850,2026-08-25,0,50850,-1050,2026-09-29,0,4125,900,3017925,-69000,1038750,12750,878250,-55425,0.85
BAJAJFINSV,2026-07-28,0,14295300,-61500,2026-08-25,0,174900,1200,2026-09-29,0,25200,600,14495400,-59700,4073400,-92100,3826200,135600,0.94
BAJAJHLDNG,2026-07-28,0,286425,150,2026-08-25,0,5475,825,2026-09-29,0,150,75,292050,1050,78300,7275,42300,225,0.54
BAJFINANCE,2026-07-28,0,78194250,-865500,2026-08-25,0,4854750,93750,2026-09-29,0,176250,25500,83225250,-746250,12431250,58500,11656500,615750,0.94
BANDHANBNK,2026-07-28,0,101066400,-284400,2026-08-25,0,7185600,169200,2026-09-29,0,154800,36000,108406800,-79200,30985200,1245600,19112400,-655200,0.62
