Symbol,1st_Expiry_Date,1st_Close,1st_OI,1st_OI_Chg,2nd_Expiry_Date,2nd_Close,2nd_OI,2nd_OI_Chg,3rd_Expiry_Date,3rd_Close,3rd_OI,3rd_OI_Chg,Total_Futures_OI,Total_Futures_OI_Chg,Combine_CE_OI,Combine_CE_OI_Chg,Combine_PE_OI,Combine_PE_OI_Chg,PCR_OI
360ONE,2026-08-25,0,521000,-558000,2026-09-29,0,3498000,776000,2026-10-27,0,30000,5000,4049000,223000,1964000,-314000,1589000,-106500,0.81
ABB,2026-08-25,0,252750,-286625,2026-09-29,0,1729250,171500,2026-10-27,0,26500,1375,2008500,-113750,1106125,-479500,682250,-85375,0.62
ABCAPITAL,2026-08-25,0,1345400,-2945000,2026-09-29,0,39013500,4535300,2026-10-27,0,799800,117800,41158700,1708100,18634100,-480500,15193100,37200,0.82
ADANIENSOL,2026-08-25,0,1402650,-1247400,2026-09-29,0,18331650,1438425,2026-10-27,0,146475,29700,19880775,220725,5156325,-1085400,2709450,16875,0.53
ADANIENT,2026-08-25,0,669603,-2687373,2026-09-29,0,15784338,2519586,2026-10-27,0,134724,46041,16588665,-121746,4588959,338664,3710163,488838,0.81
ADANIGREEN,2026-08-25,0,1272000,-4086000,2026-09-29,0,26070600,4714800,2026-10-27,0,276000,69600,27618600,698400,7936200,-426600,5424000,535200,0.68
ADANIPORTS,2026-08-25,0,1417400,-3283200,2026-09-29,0,19885875,3446600,2026-10-27,0,552425,63175,21855700,226575,9073450,-1828275,6397300,-83600,0.71
ADANIPOWER,2026-08-25,0,8086900,-38198000,2026-09-29,0,161070600,36930650,2026-10-27,0,5910750,1320600,175068250,53250,43838950,-8750750,28502950,-276900,0.65
ALKEM,2026-08-25,0,95875,-95625,2026-09-29,0,1241875,99375,2026-10-27,0,77375,1250,1415125,5000,608000,-241000,280500,-28250,0.46
AMBER,2026-08-25,0,132400,-196600,2026-09-29,0,1360400,173400,2026-10-27,0,15000,5200,1507800,-18000,891900,-532500,659000,-232000,0.74
AMBUJACEM,2026-08-25,0,3873600,-10036800,2026-09-29,0,91902000,14049600,2026-10-27,0,2316000,523200,98091600,4536000,20115600,1137600,11864400,1124400,0.59
ANGELONE,2026-08-25,0,5012500,-6010000,2026-09-29,0,29335000,1792500,2026-10-27,0,1292500,212500,35640000,-4005000,22252500,-3462500,17180000,685000,0.77
APLAPOLLO,2026-08-25,0,361900,-348950,2026-09-29,0,8772050,570500,2026-10-27,0,19250,2800,9153200,224350,2007600,-1750,1138900,-86100,0.57
APOLLOHOSP,2026-08-25,0,167500,-177875,2026-09-29,0,2296375,197375,2026-10-27,0,284000,4000,2747875,23500,1306375,-560375,857375,-229500,0.66
ASHOKLEY,2026-08-25,0,13480000,-18895000,2026-09-29,0,129900000,21125000,2026-10-27,0,3765000,235000,147145000,2465000,80395000,-9895000,64595000,-2260000,0.8
ASIANPAINT,2026-08-25,0,1848750,-138500,2026-09-29,0,7987500,990250,2026-10-27,0,881250,15250,10717500,867000,4450000,-600750,2945500,-336750,0.66
ASTRAL,2026-08-25,0,686375,-474300,2026-09-29,0,6825925,89675,2026-10-27,0,230350,117300,7742650,-267325,2889150,-469625,1734000,-130900,0.6
AUBANK,2026-08-25,0,1279000,-891000,2026-09-29,0,20432000,923000,2026-10-27,0,2396000,72000,24107000,104000,6683000,-374000,5619000,71000,0.84
