Symbol,1st_Expiry_Date,1st_Close,1st_OI,1st_OI_Chg,2nd_Expiry_Date,2nd_Close,2nd_OI,2nd_OI_Chg,3rd_Expiry_Date,3rd_Close,3rd_OI,3rd_OI_Chg,Total_Futures_OI,Total_Futures_OI_Chg,Combine_CE_OI,Combine_CE_OI_Chg,Combine_PE_OI,Combine_PE_OI_Chg,PCR_OI
360ONE,2026-05-26,0,1021500,-1295500,2026-06-30,0,4323000,1112000,2026-07-28,0,4500,2000,5349000,-181500,923000,128000,909000,89000,0.98
ABB,2026-05-26,0,433500,-326125,2026-06-30,0,2422625,510875,2026-07-28,0,37125,4500,2893250,189250,1842625,-121625,1147625,-18125,0.62
ABCAPITAL,2026-05-26,0,7582600,-12598400,2026-06-30,0,49441900,11755200,2026-07-28,0,1577900,52700,58602400,-790500,15881300,-1633700,12787500,-638600,0.81
ADANIENSOL,2026-05-26,0,3241350,-4920750,2026-06-30,0,17615475,4142475,2026-07-28,0,73575,22950,20930400,-755325,6565050,-492750,3795525,76950,0.58
ADANIENT,2026-05-26,0,4071384,-4372041,2026-06-30,0,15856026,5122293,2026-07-28,0,450831,46350,20378241,796602,10297734,-422712,8820096,1009812,0.86
ADANIGREEN,2026-05-26,0,5881800,-5315400,2026-06-30,0,16812000,5639400,2026-07-28,0,250200,59400,22944000,383400,9843600,-682800,7770000,-2400,0.79
ADANIPORTS,2026-05-26,0,4795600,-4621750,2026-06-30,0,18722600,4683975,2026-07-28,0,1197000,4275,24715200,66500,9457250,-620825,6840475,-742425,0.72
ADANIPOWER,2026-05-26,0,16312250,-31158350,2026-06-30,0,78032550,37129450,2026-07-28,0,7337850,344350,101682650,6315450,41123200,-3677800,25744600,5044550,0.63
ALKEM,2026-05-26,0,88250,-169500,2026-06-30,0,1172625,147500,2026-07-28,0,3375,0,1264250,-22000,400250,-44750,205000,-14500,0.51
AMBER,2026-05-26,0,644000,-486000,2026-06-30,0,2243500,480200,2026-07-28,0,13100,-200,2900600,-6000,3383700,-317500,1959600,121400,0.58
AMBUJACEM,2026-05-26,0,10792950,-11169900,2026-06-30,0,59087700,10904250,2026-07-28,0,4690800,373200,74571450,107550,17251500,-2215500,10903350,-764400,0.63
ANGELONE,2026-05-26,0,10192500,-4320000,2026-06-30,0,19100000,3125000,2026-07-28,0,407500,67500,29700000,-1127500,20807500,-2137500,18830000,-700000,0.9
APLAPOLLO,2026-05-26,0,696500,-1021650,2026-06-30,0,4968250,920850,2026-07-28,0,42700,3500,5707450,-97300,2015300,193550,1202250,18900,0.6
APOLLOHOSP,2026-05-26,0,373875,-268625,2026-06-30,0,1637125,260500,2026-07-28,0,215250,2875,2226250,-5250,1277875,-278750,1381125,-253875,1.08
ASHOKLEY,2026-05-26,0,38285000,-35960000,2026-06-30,0,143290000,28455000,2026-07-28,0,4580000,805000,186155000,-6700000,101380000,-12670000,75775000,-655000,0.75
ASIANPAINT,2026-05-26,0,3314000,-2265500,2026-06-30,0,9711250,2529250,2026-07-28,0,182500,12000,13207750,275750,7355000,-112000,4718500,-15500,0.64
ASTRAL,2026-05-26,0,1822400,-1289025,2026-06-30,0,7124275,524875,2026-07-28,0,201025,40375,9147700,-723775,3010700,-433500,2397425,-382925,0.8
AUBANK,2026-05-26,0,3268000,-8013000,2026-06-30,0,22110000,6647000,2026-07-28,0,703000,22000,26081000,-1344000,7212000,-1105000,6209000,-249000,0.86
AUROPHARMA,2026-05-26,0,2431550,-1480600,2026-06-30,0,16989500,1852950,2026-07-28,0,54450,4950,19475500,377300,5239300,-300300,3384150,-80300,0.65
AXISBANK,2026-05-26,0,8527500,-7638125,2026-06-30,0,54526875,7013750,2026-07-28,0,8475625,15625,71530000,-608750,18371875,-1493750,13431875,-589375,0.73
BAJAJ-AUTO,2026-05-26,0,749025,-471225,2026-06-30,0,1988775,462975,2026-07-28,0,23925,3525,2761725,-4725,2242275,235875,1351575,-234750,0.6
BAJAJFINSV,2026-05-26,0,1713750,-1792000,2026-06-30,0,8592500,2321500,2026-07-28,0,1773600,11400,12079850,540900,6243000,-418250,3633750,59500,0.58
BAJAJHLDNG,2026-05-26,0,64700,-90700,2026-06-30,0,237050,88450,2026-07-28,0,1050,450,302800,-1800,85100,-13650,51050,-2700,0.6
BAJFINANCE,2026-05-26,0,2592750,-11729250,2026-06-30,0,69084000,12824250,2026-07-28,0,1216500,39000,72893250,1134000,17652000,-2555250,13152750,-1591500,0.75
BANDHANBNK,2026-05-26,0,10926000,-24771600,2026-06-30,0,89568000,27590400,2026-07-28,0,986400,169200,101480400,2988000,37468800,-3675600,24591600,-835200,0.66
BANKBARODA,2026-05-26,0,25350975,-24011325,2026-06-30,0,103925250,27702675,2026-07-28,0,2439450,102375,131715675,3793725,44117775,-4627350,39507975,1061775,0.9
BANKINDIA,2026-05-26,0,17082000,-17513600,2026-06-30,0,57059600,16536000,2026-07-28,0,686400,26000,74828000,-951600,27528800,-3900000,18636800,-988000,0.68
BANKNIFTY,2026-05-26,0,1148520,-320370,2026-06-30,0,1908090,449070,2026-07-28,0,100020,10800,3156630,139500,25818660,-2163540,25494000,3523350,0.99
BDL,2026-05-26,0,790300,-700350,2026-06-30,0,2923200,591500,2026-07-28,0,119425,19550,3832925,-89300,3827400,110250,2064300,-22050,0.54
BEL,2026-05-26,0,24377475,-26677425,2026-06-30,0,89039700,23499675,2026-07-28,0,2764500,303525,116181675,-2874225,61018500,-5949375,34720125,-1761300,0.57
BHARATFORG,2026-05-26,0,1046500,-1367500,2026-06-30,0,6222500,1415000,2026-07-28,0,47500,10000,7316500,57500,3600500,-291500,2436500,-335000,0.68
BHARTIARTL,2026-05-26,0,5287225,-10060500,2026-06-30,0,51831050,11066550,2026-07-28,0,476425,89775,57594700,1095825,24047350,-2527950,12346200,-987525,0.51
BHEL,2026-05-26,0,21049875,-19453875,2026-06-30,0,109142250,20871375,2026-07-28,0,960750,154875,131152875,1572375,49560000,-5901000,40524750,-2735250,0.82
BIOCON,2026-05-26,0,5767500,-9217500,2026-06-30,0,34822500,8542500,2026-07-28,0,415000,5000,41005000,-670000,24500000,940000,20487500,960000,0.84
BLUESTARCO,2026-05-26,0,638300,-732225,2026-06-30,0,2627300,633100,2026-07-28,0,25025,4550,3290625,-94575,2509000,-137475,1395550,-89700,0.56
BOSCHLTD,2026-05-26,0,38625,-72900,2026-06-30,0,320900,74800,2026-07-28,0,4100,350,363625,2250,333575,-40925,140150,-19025,0.42
BPCL,2026-05-26,0,10586000,-11628800,2026-06-30,0,45328225,8901325,2026-07-28,0,2425300,-15800,58339525,-2743275,25965325,-4198850,19593975,-1696525,0.75
BRITANNIA,2026-05-26,0,630250,-610875,2026-06-30,0,2250875,612500,2026-07-28,0,29500,5625,2910625,7250,1952250,-334000,1126250,-4500,0.58
BSE,2026-05-26,0,1779750,-977250,2026-06-30,0,6547500,1346625,2026-07-28,0,154600,21600,8481850,390975,7603600,-1087050,8549850,45225,1.12
CAMS,2026-05-26,0,1746000,-1616250,2026-06-30,0,5112750,1083750,2026-07-28,0,131175,33000,6989925,-499500,3822000,-349500,2931000,-282000,0.77
CANBK,2026-05-26,0,50368500,-46467000,2026-06-30,0,193947750,47054250,2026-07-28,0,8066250,175500,252382500,762750,98172000,-10894500,81810000,-3010500,0.83
CDSL,2026-05-26,0,2478550,-2184525,2026-06-30,0,10982950,2216350,2026-07-28,0,952375,87400,14413875,119225,8957550,-1148550,6006850,-265050,0.67
CGPOWER,2026-05-26,0,2300950,-3818200,2026-06-30,0,16677000,3452700,2026-07-28,0,2335800,14450,21313750,-351050,6095350,-671500,5270000,317900,0.86
