Symbol,1st_Expiry_Date,1st_Close,1st_OI,1st_OI_Chg,2nd_Expiry_Date,2nd_Close,2nd_OI,2nd_OI_Chg,3rd_Expiry_Date,3rd_Close,3rd_OI,3rd_OI_Chg,Total_Futures_OI,Total_Futures_OI_Chg,Combine_CE_OI,Combine_CE_OI_Chg,Combine_PE_OI,Combine_PE_OI_Chg,PCR_OI
360ONE,2026-08-25,0,4203500,59000,2026-09-29,0,305000,82500,2026-10-27,0,11000,4000,4519500,145500,2293500,139500,1203500,-9500,0.52
ABB,2026-08-25,0,2101125,9125,2026-09-29,0,98750,14000,2026-10-27,0,13625,1750,2213500,24875,2158625,73125,1204500,-54250,0.56
ABCAPITAL,2026-08-25,0,39788500,468100,2026-09-29,0,1255500,136400,2026-10-27,0,356500,34100,41400500,638600,25522300,-136400,17294900,-83700,0.68
ADANIENSOL,2026-08-25,0,20038725,757350,2026-09-29,0,409050,33075,2026-10-27,0,16875,-2025,20464650,788400,6566400,-389475,3341925,527850,0.51
ADANIENT,2026-08-25,0,15568038,-363384,2026-09-29,0,980766,15450,2026-10-27,0,41097,3708,16589901,-344226,5233224,-1164312,3813678,-66435,0.73
ADANIGREEN,2026-08-25,0,26697000,-240600,2026-09-29,0,592200,19200,2026-10-27,0,78000,0,27367200,-221400,11722800,-621000,5383800,-3600,0.46
ADANIPORTS,2026-08-25,0,19665950,-463600,2026-09-29,0,3656075,261250,2026-10-27,0,199025,5225,23521050,-197125,15135875,-1427375,8022750,-573325,0.53
ADANIPOWER,2026-08-25,0,159270750,-149100,2026-09-29,0,13340900,1444850,2026-10-27,0,1057900,113600,173669550,1409350,63239700,2023500,30217600,244950,0.48
ALKEM,2026-08-25,0,1444000,-24375,2026-09-29,0,29375,11000,2026-10-27,0,5500,125,1478875,-13250,1524000,856750,642750,282875,0.42
AMBER,2026-08-25,0,1309300,-79900,2026-09-29,0,101600,700,2026-10-27,0,7100,-1100,1418000,-80300,2122900,432400,1434100,-189900,0.68
AMBUJACEM,2026-08-25,0,85188000,524400,2026-09-29,0,4008000,228000,2026-10-27,0,283200,27600,89479200,780000,18368400,471600,10292400,187200,0.56
ANGELONE,2026-08-25,0,32300000,1080000,2026-09-29,0,2775000,410000,2026-10-27,0,647500,85000,35722500,1575000,33235000,2130000,15905000,212500,0.48
APLAPOLLO,2026-08-25,0,7219100,567000,2026-09-29,0,821450,50050,2026-10-27,0,14700,350,8055250,617400,2143400,38500,1346800,93800,0.63
APOLLOHOSP,2026-08-25,0,2291750,-308250,2026-09-29,0,463000,-3625,2026-10-27,0,38500,-2125,2793250,-314000,2528000,-783375,1937500,516875,0.77
ASHOKLEY,2026-08-25,0,138630000,3615000,2026-09-29,0,6715000,1670000,2026-10-27,0,1620000,490000,146965000,5775000,135445000,34060000,79215000,11935000,0.58
ASIANPAINT,2026-08-25,0,7435250,139500,2026-09-29,0,1464250,18250,2026-10-27,0,29250,4000,8928750,161750,5592000,380250,3457000,-8250,0.62
ASTRAL,2026-08-25,0,6641050,-195075,2026-09-29,0,955400,24225,2026-10-27,0,73950,11475,7670400,-159375,4241075,-713575,3147550,-1759500,0.74
AUBANK,2026-08-25,0,20928000,-146000,2026-09-29,0,2811000,3000,2026-10-27,0,77000,4000,23816000,-139000,7975000,460000,5583000,160000,0.7
AUROPHARMA,2026-08-25,0,10195900,-26950,2026-09-29,0,272800,95700,2026-10-27,0,17600,2750,10486300,71500,4489100,322850,2957350,42350,0.66
AXISBANK,2026-08-25,0,81300625,1158125,2026-09-29,0,13451250,658750,2026-10-27,0,837500,71875,95589375,1888750,27248750,2133125,15668750,448750,0.58
BAJAJ-AUTO,2026-08-25,0,1790775,8475,2026-09-29,0,44400,5250,2026-10-27,0,4050,150,1839225,13875,1419675,-42075,1817250,-18825,1.28
BAJAJFINSV,2026-08-25,0,7329600,-164400,2026-09-29,0,1802700,31500,2026-10-27,0,67800,14400,9200100,-118500,9021900,30900,4674600,-62700,0.52
BAJAJHLDNG,2026-08-25,0,324675,-600,2026-09-29,0,12525,600,2026-10-27,0,1425,0,338625,0,81525,-2775,90525,-225,1.11
BAJFINANCE,2026-08-25,0,53499750,-159750,2026-09-29,0,14092500,186000,2026-10-27,0,1096500,147000,68688750,173250,26964000,-798750,20951250,-524250,0.78
BANDHANBNK,2026-08-25,0,128847600,-637200,2026-09-29,0,3981600,-7200,2026-10-27,0,158400,0,132987600,-644400,53031600,-1022400,28166400,-201600,0.53
BANKBARODA,2026-08-25,0,130630500,807300,2026-09-29,0,11044800,1070550,2026-10-27,0,1807650,32175,143482950,1910025,53211600,804375,44588700,1053000,0.84
BANKINDIA,2026-08-25,0,85768800,-774800,2026-09-29,0,4622800,223600,2026-10-27,0,483600,88400,90875200,-462800,37086400,-847600,29946800,-1294800,0.81
