Symbol,1st_Expiry_Date,1st_Close,1st_OI,1st_OI_Chg,2nd_Expiry_Date,2nd_Close,2nd_OI,2nd_OI_Chg,3rd_Expiry_Date,3rd_Close,3rd_OI,3rd_OI_Chg,Total_Futures_OI,Total_Futures_OI_Chg,Combine_CE_OI,Combine_CE_OI_Chg,Combine_PE_OI,Combine_PE_OI_Chg,PCR_OI
360ONE,2026-05-26,0,5445000,121500,2026-06-30,0,35000,0,2026-07-28,0,1500,-500,5481500,121000,995500,94000,668000,19000,0.67
ABB,2026-05-26,0,2272750,-138750,2026-06-30,0,189125,108750,2026-07-28,0,21375,12125,2483250,-17875,2940500,1221125,1039750,201500,0.35
ABCAPITAL,2026-05-26,0,39568400,1373300,2026-06-30,0,979600,46500,2026-07-28,0,124000,6200,40672000,1426000,17251500,1109800,11200300,-632400,0.65
ADANIENSOL,2026-05-26,0,21062025,124200,2026-06-30,0,225450,18900,2026-07-28,0,20250,4725,21307725,147825,7930575,226800,4173525,-299025,0.53
ADANIENT,2026-05-26,0,19969434,332484,2026-06-30,0,472770,15759,2026-07-28,0,44187,0,20486391,348243,7843038,-53148,6000162,4635,0.77
ADANIGREEN,2026-05-26,0,22354800,58200,2026-06-30,0,293400,1800,2026-07-28,0,36600,-9000,22684800,51000,8580000,-261600,6499200,448800,0.76
ADANIPORTS,2026-05-26,0,20710950,-238925,2026-06-30,0,1235950,25650,2026-07-28,0,73150,2375,22020050,-210900,9521850,216125,7926325,406600,0.83
ADANIPOWER,2026-05-26,0,79218250,340800,2026-06-30,0,4022150,-95850,2026-07-28,0,376300,42600,83616700,287550,36600500,1349000,22347250,-1089850,0.61
ALKEM,2026-05-26,0,1074750,-12500,2026-06-30,0,11250,125,2026-07-28,0,250,125,1086250,-12250,338000,26500,154750,-1250,0.46
AMBER,2026-05-26,0,1505500,45800,2026-06-30,0,29000,6300,2026-07-28,0,3000,0,1537500,52100,1241600,144500,662600,69200,0.53
AMBUJACEM,2026-05-26,0,75214650,-222600,2026-06-30,0,2276400,183750,2026-07-28,0,151200,13200,77642250,-25650,19667550,-118650,12992850,-12600,0.66
ANGELONE,2026-05-26,0,26172500,12500,2026-06-30,0,910000,22500,2026-07-28,0,187500,15000,27270000,50000,19490000,182500,11657500,75000,0.6
APLAPOLLO,2026-05-26,0,5285700,1050,2026-06-30,0,548450,3500,2026-07-28,0,10850,-700,5845000,3850,2130100,264950,1325450,132650,0.62
APOLLOHOSP,2026-05-26,0,1740500,-1375,2026-06-30,0,194875,6375,2026-07-28,0,5375,500,1940750,5500,1150875,133500,822000,19750,0.71
ASHOKLEY,2026-05-26,0,128605000,2385000,2026-06-30,0,11530000,1270000,2026-07-28,0,1595000,360000,141730000,4015000,98235000,6750000,57210000,3465000,0.58
ASIANPAINT,2026-05-26,0,11570000,-527250,2026-06-30,0,1339750,112500,2026-07-28,0,30750,-500,12940500,-415250,5645250,226750,3968750,-1500,0.7
ASTRAL,2026-05-26,0,8053750,-106250,2026-06-30,0,635375,38250,2026-07-28,0,29750,-425,8718875,-68425,2108850,32725,1172575,-17425,0.56
AUBANK,2026-05-26,0,25430000,-240000,2026-06-30,0,1698000,37000,2026-07-28,0,83000,40000,27211000,-163000,7879000,132000,4550000,-249000,0.58
AUROPHARMA,2026-05-26,0,18434350,-116050,2026-06-30,0,176550,15400,2026-07-28,0,19250,550,18630150,-100100,3355550,73700,2532750,-91300,0.75
AXISBANK,2026-05-26,0,59653750,167500,2026-06-30,0,9631875,118750,2026-07-28,0,161875,10000,69447500,296250,18636250,1151875,11610625,-165625,0.62
BAJAJ-AUTO,2026-05-26,0,2354400,-54675,2026-06-30,0,181650,7275,2026-07-28,0,10275,0,2546325,-47400,1907025,-33000,1705200,-113550,0.89
BAJAJFINSV,2026-05-26,0,10328250,-55750,2026-06-30,0,1083750,24500,2026-07-28,0,32700,900,11444700,-30350,4347050,620250,2815500,-94500,0.65
BAJAJHLDNG,2026-05-26,0,281600,-2800,2026-06-30,0,15650,500,2026-07-28,0,300,0,297550,-2300,127800,-4900,58600,-2450,0.46
BAJFINANCE,2026-05-26,0,58168500,-218250,2026-06-30,0,11369250,179250,2026-07-28,0,274500,33000,69812250,-6000,17674500,120750,14196750,175500,0.8
BANDHANBNK,2026-05-26,0,95756400,-262800,2026-06-30,0,2746800,403200,2026-07-28,0,403200,25200,98906400,165600,40183200,-1476000,28796400,-1681200,0.72
BANKBARODA,2026-05-26,0,111439575,1175850,2026-06-30,0,11831625,476775,2026-07-28,0,453375,81900,123724575,1734525,48189375,3875625,33804225,2266875,0.7
BANKINDIA,2026-05-26,0,64807600,1752400,2026-06-30,0,2319200,-57200,2026-07-28,0,322400,-67600,67449200,1627600,30591600,4139200,19957600,811200,0.65
BANKNIFTY,2026-05-26,0,2304840,-11730,2026-06-30,0,317040,19020,2026-07-28,0,51090,6600,2672970,13890,17828430,1195740,14461950,230220,0.81
BDL,2026-05-26,0,3691800,39900,2026-06-30,0,365050,38850,2026-07-28,0,36125,2975,4092975,81725,3069925,129850,1713600,-16800,0.56
BEL,2026-05-26,0,101163600,-897750,2026-06-30,0,15857400,168150,2026-07-28,0,635550,85500,117656550,-644100,52716450,2371200,29226750,635550,0.55
BHARATFORG,2026-05-26,0,7242000,-120000,2026-06-30,0,126000,9500,2026-07-28,0,27500,1000,7395500,-109500,4357000,2500,3095500,-111500,0.71
BHARTIARTL,2026-05-26,0,55507550,4244125,2026-06-30,0,11416150,612750,2026-07-28,0,290225,83600,67213925,4940475,19200925,4314425,9468650,1644450,0.49
BHEL,2026-05-26,0,119571375,-3950625,2026-06-30,0,4806375,170625,2026-07-28,0,451500,0,124829250,-3780000,54271875,834750,56306250,-2058000,1.04
