Symbol,1st_Expiry_Date,1st_Close,1st_OI,1st_OI_Chg,2nd_Expiry_Date,2nd_Close,2nd_OI,2nd_OI_Chg,3rd_Expiry_Date,3rd_Close,3rd_OI,3rd_OI_Chg,Total_Futures_OI,Total_Futures_OI_Chg,Combine_CE_OI,Combine_CE_OI_Chg,Combine_PE_OI,Combine_PE_OI_Chg,PCR_OI
360ONE,2026-04-28,0,4632000,-613500,2026-05-26,0,1155500,545000,2026-06-30,0,31000,25000,5818500,-43500,6297000,2005000,2707000,-429000,0.43
ABB,2026-04-28,0,2265500,36750,2026-05-26,0,369250,170750,2026-06-30,0,23625,4000,2658375,211500,2031000,638000,1742625,415750,0.86
ABCAPITAL,2026-04-28,0,38991800,-638600,2026-05-26,0,2263000,942400,2026-06-30,0,114700,9300,41369500,313100,13147100,-368900,10822100,771900,0.82
ADANIENSOL,2026-04-28,0,15788925,-1746900,2026-05-26,0,6090525,1727325,2026-06-30,0,41175,5400,21920625,-14175,5727375,1333800,4054725,985500,0.71
ADANIENT,2026-04-28,0,15013383,-406953,2026-05-26,0,3613755,1379685,2026-06-30,0,137814,18849,18764952,991581,7528476,21630,7188576,-178602,0.95
ADANIGREEN,2026-04-28,0,15603000,-2616600,2026-05-26,0,5903400,2607600,2026-06-30,0,111600,1200,21618000,-7800,10209000,675000,7509600,759000,0.74
ADANIPORTS,2026-04-28,0,15874975,-459800,2026-05-26,0,3920650,727700,2026-06-30,0,212325,47025,20007950,314925,10425775,636500,9108600,-157700,0.87
ADANIPOWER,2026-04-28,0,67947000,-8122400,2026-05-26,0,14945500,2414000,2026-06-30,0,734850,124250,83627350,-5584150,37140100,-159750,32095550,5719050,0.86
ALKEM,2026-04-28,0,1124125,-22625,2026-05-26,0,48125,22875,2026-06-30,0,250,125,1172500,375,328250,-29125,247375,12375,0.75
AMBER,2026-04-28,0,1153700,-69800,2026-05-26,0,208300,45000,2026-06-30,0,11400,1000,1373400,-23800,913100,-112200,679800,-18900,0.74
AMBUJACEM,2026-04-28,0,39373950,-9270450,2026-05-26,0,20746950,9904650,2026-06-30,0,211050,18900,60331950,653100,9819600,-665700,9090900,-663600,0.93
ANGELONE,2026-04-28,0,22745000,-65000,2026-05-26,0,5637500,362500,2026-06-30,0,470000,-40000,28852500,257500,30957500,-1445000,34920000,-17500,1.13
APLAPOLLO,2026-04-28,0,4007150,-114450,2026-05-26,0,290850,128800,2026-06-30,0,490700,0,4788700,14350,1292900,1750,864500,-45500,0.67
APOLLOHOSP,2026-04-28,0,1818000,-335750,2026-05-26,0,238000,82625,2026-06-30,0,97125,68625,2153125,-184500,920875,44000,867125,30250,0.94
ASHOKLEY,2026-04-28,0,118525000,2100000,2026-05-26,0,23520000,10715000,2026-06-30,0,2605000,225000,144650000,13040000,99465000,535000,68820000,3720000,0.69
ASIANPAINT,2026-04-28,0,11642000,-354000,2026-05-26,0,1994500,350000,2026-06-30,0,807750,17000,14444250,13000,5070000,-123250,6326750,318500,1.25
ASTRAL,2026-04-28,0,10503025,-119425,2026-05-26,0,4283150,306000,2026-06-30,0,135150,-4675,14921325,181900,3517725,-276250,2187475,-205275,0.62
AUBANK,2026-04-28,0,22552000,-405000,2026-05-26,0,2782000,784000,2026-06-30,0,192000,15000,25526000,394000,8779000,268000,7782000,305000,0.89
AUROPHARMA,2026-04-28,0,9656900,-1053250,2026-05-26,0,12305700,1488850,2026-06-30,0,23100,4400,21985700,440000,4453350,240900,2980450,149050,0.67
AXISBANK,2026-04-28,0,40877500,-4505625,2026-05-26,0,19095000,1913125,2026-06-30,0,4365000,2556250,64337500,-36250,17239375,586250,14347500,73125,0.83
BAJAJ-AUTO,2026-04-28,0,2610525,-72525,2026-05-26,0,438225,123750,2026-06-30,0,23850,5250,3072600,56475,1317000,60600,1134525,-600,0.86
BAJAJFINSV,2026-04-28,0,8207000,-486500,2026-05-26,0,2337500,388250,2026-06-30,0,352500,21750,10897000,-76500,3691750,112000,3620000,17000,0.98
BAJAJHLDNG,2026-04-28,0,245650,-8800,2026-05-26,0,39900,3500,2026-06-30,0,1450,150,287000,-5150,73900,-3050,55350,3500,0.75
