Symbol,1st_Expiry_Date,1st_Close,1st_OI,1st_OI_Chg,2nd_Expiry_Date,2nd_Close,2nd_OI,2nd_OI_Chg,3rd_Expiry_Date,3rd_Close,3rd_OI,3rd_OI_Chg,Total_Futures_OI,Total_Futures_OI_Chg,Combine_CE_OI,Combine_CE_OI_Chg,Combine_PE_OI,Combine_PE_OI_Chg,PCR_OI
360ONE,2026-06-30,0,4817000,41000,2026-07-28,0,28500,2500,2026-08-25,0,1000,500,4846500,44000,566000,85000,313500,24500,0.55
ABB,2026-06-30,0,2360625,-35500,2026-07-28,0,44125,125,2026-08-25,0,7250,1500,2412000,-33875,936125,43375,607000,-9875,0.65
ABCAPITAL,2026-06-30,0,52433400,-961000,2026-07-28,0,1729800,49600,2026-08-25,0,71300,21700,54234500,-889700,9073700,1767000,6438700,551800,0.71
ADANIENSOL,2026-06-30,0,19073475,485325,2026-07-28,0,118800,3375,2026-08-25,0,22950,6075,19215225,494775,5480325,564300,2606850,108000,0.48
ADANIENT,2026-06-30,0,18811920,-216918,2026-07-28,0,587409,37080,2026-08-25,0,17922,8343,19417251,-171495,6039714,618,4757055,93318,0.79
ADANIGREEN,2026-06-30,0,21409200,421800,2026-07-28,0,462600,21600,2026-08-25,0,28800,6600,21900600,450000,6200400,372600,4047000,329400,0.65
ADANIPORTS,2026-06-30,0,20621650,-134425,2026-07-28,0,1244025,-1425,2026-08-25,0,29925,3325,21895600,-132525,4772800,133475,2803925,264575,0.59
ADANIPOWER,2026-06-30,0,95409800,1522950,2026-07-28,0,7856150,-102950,2026-08-25,0,408250,95850,103674200,1515850,32869450,3010400,23146000,898150,0.7
ALKEM,2026-06-30,0,1349750,68125,2026-07-28,0,12875,1125,2026-08-25,0,1375,250,1364000,69500,676875,107375,333875,32875,0.49
AMBER,2026-06-30,0,2869000,129100,2026-07-28,0,19500,2400,2026-08-25,0,400,100,2888900,131600,1879300,355200,1253400,78800,0.67
AMBUJACEM,2026-06-30,0,66248700,-236250,2026-07-28,0,5227200,24000,2026-08-25,0,25200,2400,71501100,-209850,12100650,981000,8743350,211950,0.72
