Symbol,1st_Expiry_Date,1st_Close,1st_OI,1st_OI_Chg,2nd_Expiry_Date,2nd_Close,2nd_OI,2nd_OI_Chg,3rd_Expiry_Date,3rd_Close,3rd_OI,3rd_OI_Chg,Total_Futures_OI,Total_Futures_OI_Chg,Combine_CE_OI,Combine_CE_OI_Chg,Combine_PE_OI,Combine_PE_OI_Chg,PCR_OI
360ONE,2026-05-26,0,5100500,-94000,2026-06-30,0,47500,4000,2026-07-28,0,3000,0,5151000,-90000,940500,-82000,665000,-1000,0.71
ABB,2026-05-26,0,2219000,6875,2026-06-30,0,309750,35500,2026-07-28,0,24750,0,2553500,42375,2422875,-172125,1014750,30000,0.42
ABCAPITAL,2026-05-26,0,46186900,1351600,2026-06-30,0,1596500,303800,2026-07-28,0,127100,3100,47910500,1658500,21641100,697500,14845900,-598300,0.69
ADANIENSOL,2026-05-26,0,21046500,-284175,2026-06-30,0,506925,38475,2026-07-28,0,27675,675,21581100,-245025,8417925,100575,4239000,-85050,0.5
ADANIENT,2026-05-26,0,18389826,-527463,2026-06-30,0,1243416,245037,2026-07-28,0,61491,927,19694733,-281499,12512337,597606,7912254,62727,0.63
ADANIGREEN,2026-05-26,0,22865400,-442200,2026-06-30,0,955800,193200,2026-07-28,0,98400,6000,23919600,-243000,12711600,448200,8059200,-37200,0.63
ADANIPORTS,2026-05-26,0,21819600,-437000,2026-06-30,0,2043925,302100,2026-07-28,0,116375,8075,23979900,-126825,10665650,-29450,8411300,86925,0.79
ADANIPOWER,2026-05-26,0,87585600,-1604600,2026-06-30,0,6563950,915900,2026-07-28,0,848450,3550,94998000,-685150,50470350,2708650,24377850,-74550,0.48
ALKEM,2026-05-26,0,1145375,19500,2026-06-30,0,27125,9750,2026-07-28,0,1375,250,1173875,29500,419750,-32500,178250,11875,0.42
AMBER,2026-05-26,0,2028100,349600,2026-06-30,0,339700,293500,2026-07-28,0,9100,5900,2376900,649000,3027800,1425000,1710600,744700,0.56
AMBUJACEM,2026-05-26,0,71135400,-890400,2026-06-30,0,3504900,343350,2026-07-28,0,234000,32400,74874300,-514650,21091350,284550,12403800,336000,0.59
ANGELONE,2026-05-26,0,28162500,255000,2026-06-30,0,1777500,290000,2026-07-28,0,307500,-17500,30247500,527500,23082500,-852500,11532500,-365000,0.5
APLAPOLLO,2026-05-26,0,5185950,-27650,2026-06-30,0,571900,7350,2026-07-28,0,13650,1750,5771500,-18550,1856050,-45150,1232700,-15750,0.66
APOLLOHOSP,2026-05-26,0,1724750,-73375,2026-06-30,0,259125,25125,2026-07-28,0,48000,39375,2031875,-8875,1300000,85750,817625,16750,0.63
ASHOKLEY,2026-05-26,0,151010000,420000,2026-06-30,0,21025000,2590000,2026-07-28,0,2720000,185000,174755000,3195000,124310000,-2275000,77040000,3305000,0.62
ASIANPAINT,2026-05-26,0,11127250,-229000,2026-06-30,0,1573750,65250,2026-07-28,0,44500,5500,12745500,-158250,7124250,-34750,4651750,-74000,0.65
ASTRAL,2026-05-26,0,8096250,8500,2026-06-30,0,1447550,47600,2026-07-28,0,45475,6800,9589275,62900,3241900,871675,1979650,767550,0.61
AUBANK,2026-05-26,0,24425000,-411000,2026-06-30,0,2543000,316000,2026-07-28,0,195000,9000,27163000,-86000,8644000,-554000,5855000,390000,0.68
AUROPHARMA,2026-05-26,0,14629450,-3788950,2026-06-30,0,4411550,4166250,2026-07-28,0,28600,1650,19069600,378950,3725700,-9900,2670250,-56650,0.72
AXISBANK,2026-05-26,0,54055000,-563750,2026-06-30,0,12576875,1464375,2026-07-28,0,3648125,659375,70280000,1560000,22576250,602500,11144375,193125,0.49
BAJAJ-AUTO,2026-05-26,0,2318250,7425,2026-06-30,0,244425,32550,2026-07-28,0,13950,525,2576625,40500,1911600,-25875,1527375,-20700,0.8
BAJAJFINSV,2026-05-26,0,9369750,-454000,2026-06-30,0,1453250,121750,2026-07-28,0,58200,6000,10881200,-326250,6754300,810000,3461000,296750,0.51
BAJAJHLDNG,2026-05-26,0,279650,-2350,2026-06-30,0,19950,400,2026-07-28,0,375,75,299975,-1875,117700,-3100,61300,2200,0.52
BAJFINANCE,2026-05-26,0,57204750,-1570500,2026-06-30,0,14129250,1186500,2026-07-28,0,431250,21000,71765250,-363000,22238250,-476250,15453000,-270000,0.69
BANDHANBNK,2026-05-26,0,89607600,1767600,2026-06-30,0,5742000,1022400,2026-07-28,0,558000,46800,95907600,2836800,41223600,-14400,25369200,-1159200,0.62
BANKBARODA,2026-05-26,0,100994400,-2939625,2026-06-30,0,17394975,1910025,2026-07-28,0,1026675,163800,119416050,-865800,46820475,166725,35848800,1292850,0.77
BANKINDIA,2026-05-26,0,63674000,-1404000,2026-06-30,0,4768400,1034800,2026-07-28,0,442000,52000,68884400,-317200,33540000,-499200,20488000,41600,0.61
BANKNIFTY,2026-05-26,0,2152050,-32370,2026-06-30,0,557460,41130,2026-07-28,0,71220,5790,2780730,14550,21003240,178170,16780440,718890,0.8
BDL,2026-05-26,0,3115700,19250,2026-06-30,0,663950,75600,2026-07-28,0,63325,6800,3842975,101650,3814450,52150,2064650,131950,0.54
BEL,2026-05-26,0,98374875,-2623425,2026-06-30,0,20490075,1355175,2026-07-28,0,1231200,125400,120096150,-1142850,62761275,3475575,33141225,2247225,0.53
BHARATFORG,2026-05-26,0,6554000,-246000,2026-06-30,0,190500,37000,2026-07-28,0,29500,500,6774000,-208500,4078500,-311000,2925500,-197000,0.72
BHARTIARTL,2026-05-26,0,45986175,-1952250,2026-06-30,0,12425525,219450,2026-07-28,0,323950,9025,58735650,-1723775,25835725,3777200,17823900,2318475,0.69
BHEL,2026-05-26,0,121863000,2283750,2026-06-30,0,6809250,1060500,2026-07-28,0,572250,55125,129244500,3399375,60288375,1932000,53221875,-1926750,0.88
BIOCON,2026-05-26,0,36870000,1132500,2026-06-30,0,1942500,212500,2026-07-28,0,245000,67500,39057500,1412500,24915000,-395000,22467500,1072500,0.9
BLUESTARCO,2026-05-26,0,2889575,-48100,2026-06-30,0,352950,28600,2026-07-28,0,13975,1950,3256500,-17550,2813525,134225,1435525,106275,0.51
BOSCHLTD,2026-05-26,0,288050,-4025,2026-06-30,0,5425,875,2026-07-28,0,1025,0,294500,-3150,97850,6800,64000,1150,0.65
BPCL,2026-05-26,0,53980700,-2589225,2026-06-30,0,6711050,88875,2026-07-28,0,2176450,1783425,62868200,-716925,36596750,-1337075,23301050,768275,0.64
BRITANNIA,2026-05-26,0,2681375,11875,2026-06-30,0,423000,48625,2026-07-28,0,19125,375,3123500,60875,2772125,-77625,1168875,16250,0.42
BSE,2026-05-26,0,6553500,-166500,2026-06-30,0,1334625,366375,2026-07-28,0,82400,3400,7970525,203275,8916025,-130875,8181375,1449000,0.92
CAMS,2026-05-26,0,7137750,45750,2026-06-30,0,488250,19500,2026-07-28,0,61875,-825,7687875,64425,4251000,-198000,3370500,-178500,0.79
CANBK,2026-05-26,0,195311250,-2740500,2026-06-30,0,41330250,5008500,2026-07-28,0,3132000,351000,239773500,2619000,120798000,4799250,83976750,3867750,0.7
CDSL,2026-05-26,0,10556400,-311600,2026-06-30,0,3169200,177175,2026-07-28,0,668800,35150,14394400,-99275,8917175,-268375,5246375,20900,0.59
CGPOWER,2026-05-26,0,19708100,249900,2026-06-30,0,3245300,224400,2026-07-28,0,119850,29750,23073250,504050,7043950,-346800,4731100,-123250,0.67
CHOLAFIN,2026-05-26,0,17919375,120625,2026-06-30,0,1223750,94375,2026-07-28,0,23750,1875,19166875,216875,3632500,252500,2488125,106875,0.68
CIPLA,2026-05-26,0,13680750,-147375,2026-06-30,0,984375,110625,2026-07-28,0,49725,1275,14714850,-35475,9464550,-273325,10404000,-1234875,1.1
COALINDIA,2026-05-26,0,64316700,569700,2026-06-30,0,9455400,333450,2026-07-28,0,355050,20250,74127150,923400,45130500,-236250,26493750,1580850,0.59
