Symbol,1st_Expiry_Date,1st_Close,1st_OI,1st_OI_Chg,2nd_Expiry_Date,2nd_Close,2nd_OI,2nd_OI_Chg,3rd_Expiry_Date,3rd_Close,3rd_OI,3rd_OI_Chg,Total_Futures_OI,Total_Futures_OI_Chg,Combine_CE_OI,Combine_CE_OI_Chg,Combine_PE_OI,Combine_PE_OI_Chg,PCR_OI
360ONE,2026-09-29,0,3670000,96500,2026-10-27,0,72500,2000,2026-11-23,0,6000,0,3748500,98500,2531500,134500,1675000,8000,0.66
ABB,2026-09-29,0,1739875,24375,2026-10-27,0,39875,1625,2026-11-23,0,4250,-250,1784000,25750,798375,52500,777875,38750,0.97
ABCAPITAL,2026-09-29,0,37451100,-483600,2026-10-27,0,1066400,27900,2026-11-23,0,105400,6200,38622900,-449500,12028000,-151900,12533300,-288300,1.04
ADANIENSOL,2026-09-29,0,22171725,-13500,2026-10-27,0,427950,7425,2026-11-23,0,43200,2025,22642875,-4050,8889075,-547425,4331475,207225,0.49
ADANIENT,2026-09-29,0,16464756,-1458789,2026-10-27,0,555273,61800,2026-11-23,0,91155,6489,17111184,-1390500,7981779,-475551,6164241,1244961,0.77
ADANIGREEN,2026-09-29,0,24877800,-178200,2026-10-27,0,378600,3600,2026-11-23,0,45600,6600,25302000,-168000,5585400,-4800,4166400,-86400,0.75
ADANIPORTS,2026-09-29,0,17951200,-1082525,2026-10-27,0,825550,15200,2026-11-23,0,565725,500650,19342475,-566675,8705800,1203175,7497875,1608350,0.86
ADANIPOWER,2026-09-29,0,186683850,-5254000,2026-10-27,0,8094000,124250,2026-11-23,0,1455500,-17750,196233350,-5147500,62451600,-8800450,43402300,340800,0.69
ALKEM,2026-09-29,0,1564500,39375,2026-10-27,0,82625,-375,2026-11-23,0,875,0,1648000,39000,413125,-6875,271375,15250,0.66
AMBER,2026-09-29,0,1312000,-400,2026-10-27,0,25400,1200,2026-11-23,0,3300,500,1340700,1300,880500,25100,536600,27000,0.61
