Symbol,1st_Expiry_Date,1st_Close,1st_OI,1st_OI_Chg,2nd_Expiry_Date,2nd_Close,2nd_OI,2nd_OI_Chg,3rd_Expiry_Date,3rd_Close,3rd_OI,3rd_OI_Chg,Total_Futures_OI,Total_Futures_OI_Chg,Combine_CE_OI,Combine_CE_OI_Chg,Combine_PE_OI,Combine_PE_OI_Chg,PCR_OI
360ONE,2026-06-30,0,5352000,-12500,2026-07-28,0,44500,8000,2026-08-25,0,3000,0,5399500,-4500,1031500,2000,401000,-7500,0.39
ABB,2026-06-30,0,2228000,-30750,2026-07-28,0,102875,5250,2026-08-25,0,11625,2625,2342500,-22875,1107125,49375,598125,8250,0.54
ABCAPITAL,2026-06-30,0,52306300,682000,2026-07-28,0,1931300,133300,2026-08-25,0,96100,15500,54333700,830800,11904000,1026100,8590100,294500,0.72
ADANIENSOL,2026-06-30,0,19286100,-622350,2026-07-28,0,159975,4050,2026-08-25,0,32400,2700,19478475,-615600,6333525,454950,3088800,81675,0.49
ADANIENT,2026-06-30,0,18765261,-38625,2026-07-28,0,657552,4017,2026-08-25,0,29046,1545,19451859,-33063,7443192,743145,5491857,-92700,0.74
ADANIGREEN,2026-06-30,0,20330400,-238200,2026-07-28,0,526200,24000,2026-08-25,0,50400,7200,20907000,-207000,7671000,251400,5314800,-12000,0.69
ADANIPORTS,2026-06-30,0,20890975,-256975,2026-07-28,0,1377975,11875,2026-08-25,0,54150,16150,22323100,-228950,6509875,222300,3664625,-47025,0.56
ADANIPOWER,2026-06-30,0,96109150,1143100,2026-07-28,0,8896300,198800,2026-08-25,0,738400,159750,105743850,1501650,44165550,3042350,25904350,1136000,0.59
ALKEM,2026-06-30,0,1350250,27750,2026-07-28,0,12750,-875,2026-08-25,0,2125,0,1365125,26875,704750,-54625,418375,9125,0.59
AMBER,2026-06-30,0,2518100,-26000,2026-07-28,0,14800,-1700,2026-08-25,0,400,0,2533300,-27700,1772400,-4000,1216200,-1000,0.69
AMBUJACEM,2026-06-30,0,72289350,-100800,2026-07-28,0,5757600,78000,2026-08-25,0,325200,22800,78372150,0,17661450,519900,10366500,293850,0.59
ANGELONE,2026-06-30,0,20342500,807500,2026-07-28,0,807500,2500,2026-08-25,0,112500,0,21262500,810000,20277500,732500,12812500,-417500,0.63
APLAPOLLO,2026-06-30,0,5537350,-79100,2026-07-28,0,78750,-6650,2026-08-25,0,18550,0,5634650,-85750,1080450,-55650,929950,23100,0.86
APOLLOHOSP,2026-06-30,0,1711750,-11375,2026-07-28,0,225500,1375,2026-08-25,0,5625,625,1942875,-9375,1272250,114625,928125,83500,0.73
ASHOKLEY,2026-06-30,0,194325000,1540000,2026-07-28,0,13085000,1055000,2026-08-25,0,2515000,345000,209925000,2940000,172505000,15805000,86425000,1420000,0.5
ASIANPAINT,2026-06-30,0,10158500,-175250,2026-07-28,0,284750,2750,2026-08-25,0,20250,-250,10463500,-172750,6025750,266250,3148000,53500,0.52
ASTRAL,2026-06-30,0,5908775,-103700,2026-07-28,0,336175,-3400,2026-08-25,0,20400,4250,6265350,-102850,2049775,88825,1326425,-119425,0.65
AUBANK,2026-06-30,0,27475000,17000,2026-07-28,0,1002000,8000,2026-08-25,0,119000,10000,28596000,35000,5070000,482000,3623000,254000,0.71
AUROPHARMA,2026-06-30,0,17052750,-45650,2026-07-28,0,95700,6600,2026-08-25,0,5500,1100,17153950,-37950,3662450,85250,2198900,-44000,0.6
AXISBANK,2026-06-30,0,59847500,-633125,2026-07-28,0,8899375,4375,2026-08-25,0,220000,1875,68966875,-626875,17801875,3605000,9611875,121875,0.54
BAJAJ-AUTO,2026-06-30,0,2702025,-5850,2026-07-28,0,92625,3825,2026-08-25,0,4200,75,2798850,-1950,1626300,15600,942825,14250,0.58
