SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,PCT_CHANGE
360ONE,EQ, 17-Sep-2026,1045.6,1041.0,1065.0,1037.1,1061.3,1061.3,1056.11,442034,4668.35,37154,243187, 55.02,1.5
ABB,EQ, 17-Sep-2026,6980.0,6980.0,7168.0,6975.5,7130.5,7130.5,7088.51,207124,14682.02,24766,97508, 47.08,2.16
ABCAPITAL,EQ, 17-Sep-2026,381.3,382.0,391.55,381.45,390.0,390.0,388.21,2783223,10804.76,48631,1209460, 43.46,2.28
ADANIENSOL,EQ, 17-Sep-2026,1349.2,1346.0,1386.8,1336.5,1386.8,1386.8,1358.43,1185354,16102.24,36841,620372, 52.34,2.79
ADANIENT,EQ, 17-Sep-2026,2920.0,2930.1,2945.0,2907.0,2923.2,2923.2,2928.94,588066,17224.11,28736,150181, 25.54,0.11
ADANIGREEN,EQ, 17-Sep-2026,1270.2,1268.5,1291.0,1261.5,1274.2,1274.2,1269.81,717317,9108.58,21922,214227, 29.87,0.31
ADANIPORTS,EQ, 17-Sep-2026,1723.8,1731.0,1738.8,1725.1,1738.3,1738.3,1733.85,791353,13720.9,46496,413777, 52.29,0.84
ADANIPOWER,EQ, 17-Sep-2026,202.34,202.34,205.92,202.3,205.92,205.92,204.58,8794789,17992.23,45509,2640400, 30.02,1.77
ALKEM,EQ, 17-Sep-2026,5175.0,5175.0,5361.0,5161.5,5348.5,5348.5,5297.33,231871,12282.96,24514,134787, 58.13,3.35
AMBER,EQ, 17-Sep-2026,6930.0,6918.0,7093.0,6881.0,7046.0,7046.0,7034.51,89317,6283.01,13283,19097, 21.38,1.67
AMBUJACEM,EQ, 17-Sep-2026,381.05,381.05,386.3,380.55,383.25,383.25,382.6,1224906,4686.44,21416,634572, 51.81,0.58
ANGELONE,EQ, 17-Sep-2026,293.5,292.9,297.95,292.15,295.0,295.0,295.47,1881558,5559.36,22447,570280, 30.31,0.51
APLAPOLLO,EQ, 17-Sep-2026,2120.0,2110.0,2170.0,2110.0,2148.5,2148.5,2142.19,335858,7194.73,21496,136391, 40.61,1.34
APOLLOHOSP,EQ, 17-Sep-2026,8696.5,8707.0,8799.0,8686.5,8768.5,8768.5,8761.4,191301,16760.64,29442,126532, 66.14,0.83
ASHOKLEY,EQ, 17-Sep-2026,156.5,156.89,159.64,156.08,158.62,158.62,158.63,8725516,13841.47,68529,3411438, 39.10,1.35
ASIANPAINT,EQ, 17-Sep-2026,2416.6,2424.0,2454.0,2421.0,2454.0,2454.0,2438.52,486007,11851.36,40763,299291, 61.58,1.55
ASTRAL,EQ, 17-Sep-2026,1382.5,1370.1,1401.0,1355.0,1398.9,1398.9,1387.86,473351,6569.45,34936,254570, 53.78,1.19
AUBANK,EQ, 17-Sep-2026,1033.2,1026.2,1048.0,1026.2,1039.3,1039.3,1038.71,770876,8007.18,29615,401954, 52.14,0.59
AUROPHARMA,EQ, 17-Sep-2026,1643.0,1634.0,1692.3,1634.0,1690.0,1690.0,1677.97,758827,12732.92,40310,320038, 42.18,2.86
AXISBANK,EQ, 17-Sep-2026,1241.0,1238.0,1257.6,1233.0,1240.0,1240.0,1247.72,4413665,55070.35,124164,2525022, 57.21,-0.08
BAJAJ-AUTO,EQ, 17-Sep-2026,11593.0,11568.0,11576.0,11435.0,11500.0,11500.0,11508.35,129351,14886.17,22698,61710, 47.71,-0.8
BAJAJFINSV,EQ, 17-Sep-2026,1837.0,1837.0,1863.0,1832.1,1859.2,1859.2,1848.21,460650,8513.76,38302,235918, 51.21,1.21
BAJAJHLDNG,EQ, 17-Sep-2026,10930.0,10928.0,11066.0,10884.0,11010.0,11010.0,11005.55,29620,3259.85,6132,16293, 55.01,0.73
BAJFINANCE,EQ, 17-Sep-2026,1006.2,1010.0,1027.9,1010.0,1015.0,1015.0,1015.9,4816547,48931.35,100275,2797889, 58.09,0.87
BANDHANBNK,EQ, 17-Sep-2026,172.5,172.0,175.0,170.98,171.5,171.5,172.6,4150818,7164.5,19495,1910476, 46.03,-0.58
BANKBARODA,EQ, 17-Sep-2026,234.98,233.6,236.46,232.1,232.3,232.3,233.62,4576908,10692.66,40395,1787855, 39.06,-1.14
BANKINDIA,EQ, 17-Sep-2026,137.81,137.91,141.11,137.9,138.17,138.17,139.13,9976048,13880.05,31416,5322494, 53.35,0.26
BDL,EQ, 17-Sep-2026,1136.0,1130.0,1152.9,1129.2,1151.9,1151.9,1144.88,677240,7753.56,25162,173759, 25.66,1.4
BEL,EQ, 17-Sep-2026,385.75,387.0,395.9,387.0,395.45,395.45,393.59,7820077,30779.16,85072,3674207, 46.98,2.51
BHARATFORG,EQ, 17-Sep-2026,1885.0,1885.9,1941.0,1878.0,1918.7,1918.7,1916.48,522135,10006.59,30646,233300, 44.68,1.79
BHARTIARTL,EQ, 17-Sep-2026,1835.0,1841.8,1845.9,1827.6,1836.0,1836.0,1836.24,4368285,80212.22,124838,2831487, 64.82,0.05
BHEL,EQ, 17-Sep-2026,410.6,411.55,430.75,410.8,429.2,429.2,424.64,8684564,36878.24,85259,2586703, 29.79,4.53
BIOCON,EQ, 17-Sep-2026,374.4,374.0,382.0,370.5,380.0,380.0,378.4,3043285,11515.77,40434,1730882, 56.88,1.5
BLUESTARCO,EQ, 17-Sep-2026,1504.0,1499.9,1558.0,1492.0,1553.0,1553.0,1543.0,517440,7984.12,32000,210119, 40.61,3.26
BOSCHLTD,EQ, 17-Sep-2026,47555.0,47740.0,48160.0,47595.0,47735.0,47735.0,47912.86,17379,8326.78,10505,7503, 43.17,0.38
BPCL,EQ, 17-Sep-2026,303.35,304.55,308.0,303.15,307.0,307.0,306.07,3005596,9199.16,29288,1488847, 49.54,1.2
BRITANNIA,EQ, 17-Sep-2026,4999.5,4996.0,5040.0,4982.0,4982.0,4982.0,5012.25,308669,15471.28,24245,183556, 59.47,-0.35
BSE,EQ, 17-Sep-2026,3240.0,3255.0,3303.0,3232.2,3259.0,3259.0,3269.07,2770028,90554.27,116540,939357, 33.91,0.59
CAMS,EQ, 17-Sep-2026,705.7,706.35,718.8,704.5,714.95,714.95,713.09,1304374,9301.4,50059,683743, 52.42,1.31
CANBK,EQ, 17-Sep-2026,123.2,123.15,125.14,122.48,123.9,123.9,123.62,11099833,13721.13,55544,3256560, 29.34,0.57
CDSL,EQ, 17-Sep-2026,1299.0,1299.0,1357.5,1296.3,1349.4,1349.4,1343.01,1823018,24483.39,53787,482757, 26.48,3.88
CGPOWER,EQ, 17-Sep-2026,851.55,859.0,883.4,856.3,880.0,880.0,872.37,2342568,20435.88,51919,448670, 19.15,3.34
CHOLAFIN,EQ, 17-Sep-2026,1765.6,1765.5,1793.2,1747.6,1764.5,1764.5,1761.76,1802374,31753.52,67838,1169318, 64.88,-0.06
CIPLA,EQ, 17-Sep-2026,1358.0,1362.5,1385.0,1351.6,1376.3,1376.3,1372.99,730653,10031.83,25890,424081, 58.04,1.35
COALINDIA,EQ, 17-Sep-2026,422.25,421.1,422.8,416.55,418.0,418.0,419.01,3329425,13950.61,62807,2164661, 65.02,-1.01
COCHINSHIP,EQ, 17-Sep-2026,1319.0,1312.0,1349.9,1310.1,1334.3,1334.3,1322.99,778679,10301.87,27015,204463, 26.26,1.16
COFORGE,EQ, 17-Sep-2026,1766.7,1766.8,1797.4,1759.4,1793.0,1793.0,1778.62,1305465,23219.3,56667,561809, 43.04,1.49
COLPAL,EQ, 17-Sep-2026,1860.0,1861.0,1886.0,1840.0,1840.3,1840.3,1866.3,416358,7770.5,22914,215425, 51.74,-1.06
CONCOR,EQ, 17-Sep-2026,488.8,487.0,494.0,485.0,488.15,488.15,489.19,791185,3870.39,16441,367486, 46.45,-0.13
CROMPTON,EQ, 17-Sep-2026,223.4,223.1,227.05,222.74,225.1,225.1,225.28,1444471,3254.1,22426,802730, 55.57,0.76
CUMMINSIND,EQ, 17-Sep-2026,4940.0,4940.0,5043.5,4920.0,5020.0,5020.0,4995.45,255287,12752.72,23037,147670, 57.84,1.62
DABUR,EQ, 17-Sep-2026,382.0,382.4,386.4,381.3,384.55,384.55,383.81,1528427,5866.29,20773,849589, 55.59,0.67
DALBHARAT,EQ, 17-Sep-2026,1693.6,1680.1,1700.0,1676.4,1682.0,1693.3,1691.25,43925,742.88,13208,22506, 51.24,-0.02
DELHIVERY,EQ, 17-Sep-2026,421.8,422.6,429.95,418.85,425.95,425.95,424.58,2714899,11526.89,28689,1602661, 59.03,0.98
DIVISLAB,EQ, 17-Sep-2026,9158.0,9158.0,9371.0,9135.5,9323.0,9323.0,9289.69,494167,45906.59,84559,323591, 65.48,1.8
DIXON,EQ, 17-Sep-2026,13181.0,13200.0,13495.0,13176.0,13290.0,13290.0,13348.96,267254,35675.63,37290,86092, 32.21,0.83
DLF,EQ, 17-Sep-2026,622.8,623.05,644.55,622.0,640.0,640.0,638.16,2478290,15815.58,46016,972373, 39.24,2.76
DMART,EQ, 17-Sep-2026,3720.0,3700.1,3759.0,3700.1,3711.2,3711.2,3733.0,381790,14252.23,24600,221480, 58.01,-0.24
DRREDDY,EQ, 17-Sep-2026,1140.0,1140.0,1189.8,1140.0,1175.0,1175.0,1170.41,2311932,27059.06,77314,1117513, 48.34,3.07
EICHERMOT,EQ, 17-Sep-2026,7500.0,7495.0,7552.5,7489.0,7493.5,7493.5,7531.2,255852,19268.72,22632,150073, 58.66,-0.09
ETERNAL,EQ, 17-Sep-2026,317.0,318.3,327.8,318.25,322.35,322.35,324.68,27543143,89426.18,143707,13921579, 50.54,1.69
FEDERALBNK,EQ, 17-Sep-2026,341.8,342.0,343.75,332.45,332.75,332.75,336.58,5321222,17910.35,59935,2698456, 50.71,-2.65
FORCEMOT,EQ, 17-Sep-2026,17383.0,17370.0,17783.0,17325.0,17650.0,17650.0,17605.46,62698,11038.27,20705,24477, 39.04,1.54
FORTIS,EQ, 17-Sep-2026,870.3,877.0,897.0,874.35,886.1,886.1,889.44,1175220,10452.88,32142,545163, 46.39,1.82
GAIL,EQ, 17-Sep-2026,170.65,171.24,172.82,171.24,172.0,172.0,172.24,2741053,4721.25,23059,1493840, 54.50,0.79
GLENMARK,EQ, 17-Sep-2026,2410.0,2406.8,2416.9,2388.4,2416.0,2416.0,2402.36,227416,5463.34,19964,101278, 44.53,0.25
GMRAIRPORT,EQ, 17-Sep-2026,92.46,92.46,95.72,92.46,95.04,95.04,94.88,11555139,10963.01,72432,6576399, 56.91,2.79
GODFRYPHLP,EQ, 17-Sep-2026,1934.0,1941.4,1948.8,1929.5,1943.0,1943.0,1940.2,99720,1934.77,8179,28298, 28.38,0.47
GODREJCP,EQ, 17-Sep-2026,863.0,866.45,876.0,865.15,873.0,873.0,872.68,884594,7719.72,15194,497138, 56.20,1.16
GODREJPROP,EQ, 17-Sep-2026,1665.3,1664.0,1695.3,1657.7,1678.2,1678.2,1682.46,570025,9590.45,31390,231909, 40.68,0.77
GRASIM,EQ, 17-Sep-2026,3187.0,3190.0,3205.0,3159.0,3173.1,3173.1,3182.48,738188,23492.7,29919,422740, 57.27,-0.44
GVT&D,EQ, 17-Sep-2026,4267.0,4300.0,4394.3,4266.0,4341.0,4341.0,4337.84,504355,21878.11,35657,213970, 42.42,1.73
HAL,EQ, 17-Sep-2026,4695.6,4699.0,4799.0,4687.0,4788.0,4788.0,4756.23,528884,25154.94,42073,185320, 35.04,1.97
HAVELLS,EQ, 17-Sep-2026,1089.9,1089.9,1095.6,1083.5,1092.0,1092.0,1088.87,579925,6314.65,38942,338841, 58.43,0.19
HCLTECH,EQ, 17-Sep-2026,1253.0,1242.2,1258.3,1235.3,1258.3,1258.3,1246.1,1386250,17274.01,48090,597123, 43.07,0.42
HDFCAMC,EQ, 17-Sep-2026,2373.1,2378.1,2415.0,2378.1,2387.7,2387.7,2396.67,492465,11802.75,36631,294746, 59.85,0.62
HDFCBANK,EQ, 17-Sep-2026,721.5,717.5,719.4,713.0,713.0,713.0,715.73,21543303,154191.93,239093,12964010, 60.18,-1.18
HDFCLIFE,EQ, 17-Sep-2026,530.2,532.9,560.95,529.95,557.0,557.0,554.35,9374431,51966.79,135905,3866103, 41.24,5.05
HEROMOTOCO,EQ, 17-Sep-2026,5235.0,5253.5,5341.0,5243.5,5325.0,5325.0,5314.21,536484,28509.86,63144,300977, 56.10,1.72
HINDALCO,EQ, 17-Sep-2026,972.7,972.0,987.2,970.5,980.5,980.5,980.49,2724042,26708.98,60975,1712352, 62.86,0.8
HINDPETRO,EQ, 17-Sep-2026,350.05,352.25,353.65,350.35,350.6,350.6,351.78,2170850,7636.66,22639,1391729, 64.11,0.16
HINDUNILVR,EQ, 17-Sep-2026,1962.0,1962.0,1968.9,1942.2,1942.2,1942.2,1956.35,1171388,22916.43,38583,765786, 65.37,-1.01
HINDZINC,EQ, 17-Sep-2026,567.5,562.9,574.65,562.8,572.3,572.3,570.74,3019909,17235.75,39400,1718089, 56.89,0.85
HYUNDAI,EQ, 17-Sep-2026,2155.0,2150.0,2232.1,2143.0,2160.0,2160.0,2190.35,686888,15045.24,33736,320733, 46.69,0.23
ICICIBANK,EQ, 17-Sep-2026,1358.8,1352.0,1363.0,1347.6,1347.6,1347.6,1353.8,7867524,106510.88,119927,5241775, 66.63,-0.82
ICICIGI,EQ, 17-Sep-2026,1440.0,1440.0,1498.1,1435.5,1486.7,1486.7,1480.02,728137,10776.57,28745,332801, 45.71,3.24
ICICIPRULI,EQ, 17-Sep-2026,470.0,470.0,496.9,468.75,490.5,490.5,488.85,2550650,12468.91,88022,996683, 39.08,4.36
IDEA,EQ, 17-Sep-2026,14.26,14.25,14.43,14.17,14.22,14.22,14.28,186454612,26631.24,404029,40757687, 21.86,-0.28
IDFCFIRSTB,EQ, 17-Sep-2026,85.01,84.75,86.49,84.53,86.33,86.33,85.72,16998554,14570.66,45543,9072783, 53.37,1.55
IEX,EQ, 17-Sep-2026,112.0,111.82,113.85,111.61,113.4,113.4,113.1,2083997,2356.97,24781,928092, 44.53,1.25
INDHOTEL,EQ, 17-Sep-2026,713.4,713.4,729.8,712.55,726.65,726.65,722.96,1698327,12278.3,36954,1020111, 60.07,1.86
INDIANB,EQ, 17-Sep-2026,840.0,842.0,856.4,839.0,840.5,840.5,845.98,539598,4564.87,23208,164635, 30.51,0.06
