SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,PCT_CHANGE
CAMS,EQ, 16-Sep-2026,717.35,713.0,718.25,700.15,705.7,705.7,706.73,848314,5995.3,39485,453443, 53.45,-1.62
CANBK,EQ, 16-Sep-2026,122.37,122.8,123.7,121.81,123.2,123.2,122.94,13945737,17144.83,65877,7648128, 54.84,0.68
CDSL,EQ, 16-Sep-2026,1311.0,1311.0,1319.9,1284.0,1299.0,1299.0,1295.92,1055453,13677.85,46466,348861, 33.05,-0.92
CGPOWER,EQ, 16-Sep-2026,858.0,858.0,864.2,838.55,851.55,851.55,853.41,1882336,16064.0,58097,789911, 41.96,-0.75
CHOLAFIN,EQ, 16-Sep-2026,1791.6,1800.7,1800.7,1756.3,1765.6,1765.6,1768.74,1312956,23222.76,67737,853592, 65.01,-1.45
CIPLA,EQ, 16-Sep-2026,1351.0,1351.0,1363.7,1344.3,1358.0,1358.0,1356.63,911572,12366.64,46589,613359, 67.29,0.52
COALINDIA,EQ, 16-Sep-2026,419.25,419.25,423.45,417.6,422.25,422.25,421.7,7049685,29728.84,116779,5013158, 71.11,0.72
COCHINSHIP,EQ, 16-Sep-2026,1325.0,1327.8,1330.0,1290.9,1319.0,1319.0,1313.3,1223182,16064.05,43123,250381, 20.47,-0.45
COFORGE,EQ, 16-Sep-2026,1775.5,1775.0,1784.4,1717.0,1766.7,1766.7,1748.66,3593943,62845.68,133740,1925665, 53.58,-0.5
COLPAL,EQ, 16-Sep-2026,1820.3,1833.9,1900.1,1830.1,1860.0,1860.0,1873.57,1465224,27451.98,64917,527054, 35.97,2.18
CONCOR,EQ, 16-Sep-2026,483.7,484.0,491.3,480.7,488.8,488.8,486.78,443499,2158.88,12246,153829, 34.69,1.05
CROMPTON,EQ, 16-Sep-2026,226.15,227.01,228.62,222.3,223.4,223.4,223.89,3565510,7982.89,38149,1974947, 55.39,-1.22
CUMMINSIND,EQ, 16-Sep-2026,4874.0,4863.5,4985.0,4844.0,4940.0,4940.0,4932.46,399690,19714.57,47734,241670, 60.46,1.35
DABUR,EQ, 16-Sep-2026,384.9,386.85,389.45,382.0,382.0,382.0,385.71,1792878,6915.33,27785,952254, 53.11,-0.75
DALBHARAT,EQ, 16-Sep-2026,1687.4,1687.8,1704.5,1681.0,1692.0,1693.6,1691.68,58268,985.71,17653,34050, 58.44,0.37
DELHIVERY,EQ, 16-Sep-2026,420.5,418.05,428.15,414.6,421.8,421.8,421.66,3025177,12755.96,36976,1918997, 63.43,0.31
DIVISLAB,EQ, 16-Sep-2026,9198.0,9168.0,9180.0,8923.0,9158.0,9158.0,9079.83,878300,79748.13,83927,608440, 69.27,-0.43
DIXON,EQ, 16-Sep-2026,13180.0,12985.0,13260.0,12850.0,13181.0,13181.0,13112.01,540673,70893.11,77228,261908, 48.44,0.01
DLF,EQ, 16-Sep-2026,620.85,620.85,628.3,611.5,622.8,622.8,620.89,2223983,13808.57,35238,794187, 35.71,0.31
DMART,EQ, 16-Sep-2026,3680.0,3679.0,3730.0,3670.0,3720.0,3720.0,3703.88,464459,17203.02,34499,315562, 67.94,1.09
DRREDDY,EQ, 16-Sep-2026,1145.0,1142.0,1149.9,1133.9,1140.0,1140.0,1143.26,1120896,12814.8,47805,671359, 59.89,-0.44
EICHERMOT,EQ, 16-Sep-2026,7452.5,7430.0,7524.5,7406.0,7500.0,7500.0,7465.09,316258,23608.95,36730,194544, 61.51,0.64
ETERNAL,EQ, 16-Sep-2026,315.25,316.25,318.35,310.8,317.0,317.0,315.46,11286053,35602.52,79951,5153853, 45.67,0.56
FEDERALBNK,EQ, 16-Sep-2026,343.0,341.8,346.0,340.1,341.8,341.8,342.61,2857474,9790.13,51293,1736303, 60.76,-0.35
FORCEMOT,EQ, 16-Sep-2026,17245.0,17300.0,17501.0,17187.0,17383.0,17383.0,17348.82,56841,9861.24,17379,20678, 36.38,0.8
FORTIS,EQ, 16-Sep-2026,880.1,880.0,880.1,861.4,870.3,870.3,869.58,1094839,9520.45,37379,633528, 57.86,-1.11
GAIL,EQ, 16-Sep-2026,170.88,170.88,171.88,168.72,170.65,170.65,170.33,3949470,6727.32,55399,2501177, 63.33,-0.13
GLENMARK,EQ, 16-Sep-2026,2371.7,2371.7,2425.8,2306.3,2410.0,2410.0,2366.62,677704,16038.66,43737,313621, 46.28,1.61
GMRAIRPORT,EQ, 16-Sep-2026,92.97,93.15,93.81,91.99,92.46,92.46,92.68,8814802,8169.27,50928,4757667, 53.97,-0.55
GODFRYPHLP,EQ, 16-Sep-2026,1915.0,1924.0,1938.7,1895.0,1934.0,1934.0,1919.72,167013,3206.18,14193,50950, 30.51,0.99
GODREJCP,EQ, 16-Sep-2026,857.0,856.0,876.85,856.0,863.0,863.0,871.6,1427742,12444.14,22881,835295, 58.50,0.7
GODREJPROP,EQ, 16-Sep-2026,1659.3,1666.9,1703.7,1647.6,1665.3,1665.3,1678.14,783588,13149.71,44260,264359, 33.74,0.36
GRASIM,EQ, 16-Sep-2026,3171.0,3190.0,3201.8,3159.1,3187.0,3187.0,3189.0,859973,27424.58,35055,579172, 67.35,0.5
GVT&D,EQ, 16-Sep-2026,4246.9,4238.1,4315.7,4149.7,4267.0,4267.0,4236.34,717611,30400.46,80938,374701, 52.22,0.47
HAL,EQ, 16-Sep-2026,4695.0,4690.0,4709.6,4615.8,4695.6,4695.6,4674.31,679509,31762.38,54067,311941, 45.91,0.01
HAVELLS,EQ, 16-Sep-2026,1087.0,1093.0,1106.9,1084.8,1089.9,1089.9,1094.42,726459,7950.52,41262,452066, 62.23,0.27
HCLTECH,EQ, 16-Sep-2026,1253.7,1262.5,1284.6,1244.9,1253.0,1253.0,1264.46,3049093,38554.63,81049,1304259, 42.78,-0.06
HDFCAMC,EQ, 16-Sep-2026,2409.0,2383.1,2408.5,2360.0,2373.1,2373.1,2383.38,482108,11490.49,48205,283512, 58.81,-1.49
HDFCBANK,EQ, 16-Sep-2026,716.55,714.9,725.4,710.85,721.5,721.5,718.56,27476943,197439.29,234534,17639763, 64.20,0.69
HDFCLIFE,EQ, 16-Sep-2026,516.1,522.0,534.0,517.0,530.2,530.2,526.93,3970025,20919.43,51711,2019506, 50.87,2.73
HEROMOTOCO,EQ, 16-Sep-2026,5166.0,5200.0,5315.0,5186.5,5235.0,5235.0,5246.39,525693,27579.9,54212,240843, 45.81,1.34
HINDALCO,EQ, 16-Sep-2026,958.7,956.4,978.5,956.4,972.7,972.7,971.48,3439776,33416.88,85004,2106326, 61.23,1.46
HINDPETRO,EQ, 16-Sep-2026,345.3,347.0,352.25,343.05,350.05,350.05,349.06,3786470,13217.11,43783,2217481, 58.56,1.38
HINDUNILVR,EQ, 16-Sep-2026,1938.1,1944.1,1977.0,1943.5,1962.0,1962.0,1964.56,1013304,19906.92,47179,502573, 49.60,1.23
HINDZINC,EQ, 16-Sep-2026,560.9,564.8,573.55,561.2,567.5,567.5,568.7,2902624,16507.31,64717,1340379, 46.18,1.18
HYUNDAI,EQ, 16-Sep-2026,2140.0,2140.0,2182.0,2135.4,2155.0,2155.0,2160.95,733017,15840.11,53134,351000, 47.88,0.7
ICICIBANK,EQ, 16-Sep-2026,1350.4,1359.0,1361.4,1348.0,1358.8,1358.8,1353.44,9625762,130278.5,201506,6243478, 64.86,0.62
ICICIGI,EQ, 16-Sep-2026,1427.7,1440.0,1455.6,1429.9,1440.0,1440.0,1444.65,449383,6491.99,25132,266996, 59.41,0.86
ICICIPRULI,EQ, 16-Sep-2026,457.6,458.0,474.0,456.95,470.0,470.0,466.88,767677,3584.15,25390,255319, 33.26,2.71
IDEA,EQ, 16-Sep-2026,14.45,14.48,14.49,14.13,14.26,14.26,14.3,307898731,44037.4,482020,86425984, 28.07,-1.31
IDFCFIRSTB,EQ, 16-Sep-2026,84.8,84.61,85.71,84.61,85.01,85.01,85.33,14275478,12181.21,57294,8986765, 62.95,0.25
IEX,EQ, 16-Sep-2026,112.0,112.0,112.41,110.35,112.0,112.0,111.4,3302102,3678.38,35730,1187392, 35.96,0.0
INDHOTEL,EQ, 16-Sep-2026,715.0,716.25,719.55,706.75,713.4,713.4,714.8,1037515,7416.2,28175,650294, 62.68,-0.22
INDIANB,EQ, 16-Sep-2026,836.75,840.0,849.8,834.7,840.0,840.0,844.13,773817,6532.06,41260,410674, 53.07,0.39
INDIGO,EQ, 16-Sep-2026,4776.0,4799.5,4806.0,4701.5,4733.5,4733.5,4748.38,529301,25133.23,41659,251707, 47.55,-0.89
INDUSINDBK,EQ, 16-Sep-2026,956.5,957.7,961.1,944.5,946.5,946.5,950.01,1727406,16410.56,69311,1012745, 58.63,-1.05
INDUSTOWER,EQ, 16-Sep-2026,379.0,381.0,381.5,375.2,375.6,375.6,378.36,4050806,15326.44,41654,2533778, 62.55,-0.9
INFY,EQ, 16-Sep-2026,1077.0,1082.5,1085.1,1053.5,1060.0,1060.0,1067.16,6230590,66490.65,199229,3380850, 54.26,-1.58
INOXWIND,EQ, 16-Sep-2026,74.35,74.35,74.5,72.67,74.5,74.5,73.67,5543694,4083.78,21529,1897326, 34.22,0.2
IOC,EQ, 16-Sep-2026,132.03,132.79,134.97,131.7,134.75,134.75,133.69,10071835,13465.04,59668,5577374, 55.38,2.06
IREDA,EQ, 16-Sep-2026,109.0,109.0,109.59,107.4,108.4,108.4,108.46,3083062,3343.97,25343,1190731, 38.62,-0.55
