SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,PCT_CHANGE
360ONE,EQ, 21-Sep-2026,1073.1,1073.3,1085.9,1062.8,1072.7,1072.7,1074.12,573949,6164.9,26619,310876, 54.16,-0.04
ABB,EQ, 21-Sep-2026,7270.5,7240.0,7330.0,7221.0,7271.0,7271.0,7268.86,161482,11737.89,16692,69567, 43.08,0.01
ABCAPITAL,EQ, 21-Sep-2026,410.05,405.1,405.45,400.95,403.4,403.4,402.43,1591907,6406.31,27482,879196, 55.23,-1.62
ADANIENSOL,EQ, 21-Sep-2026,1436.1,1421.1,1432.4,1397.6,1397.6,1397.6,1410.11,1943661,27407.78,51744,1201740, 61.83,-2.68
ADANIENT,EQ, 21-Sep-2026,3020.0,2995.6,3015.9,2973.0,2975.0,2975.0,2994.33,782730,23437.54,34302,304923, 38.96,-1.49
ADANIGREEN,EQ, 21-Sep-2026,1334.5,1332.0,1332.0,1300.1,1303.6,1303.6,1313.86,644395,8466.47,20547,207780, 32.24,-2.32
ADANIPORTS,EQ, 21-Sep-2026,1824.0,1793.7,1796.8,1766.7,1787.1,1787.1,1784.82,2317822,41368.92,66261,1323764, 57.11,-2.02
ADANIPOWER,EQ, 21-Sep-2026,206.6,207.64,210.55,205.38,206.55,206.55,207.67,11494497,23870.86,59684,4039983, 35.15,-0.02
ALKEM,EQ, 21-Sep-2026,5466.5,5395.0,5411.0,5316.5,5364.0,5364.0,5375.25,94968,5104.77,9631,55616, 58.56,-1.88
AMBER,EQ, 21-Sep-2026,7125.0,7125.0,7214.5,7090.0,7098.0,7098.0,7147.7,120913,8642.5,18898,40903, 33.83,-0.38
AMBUJACEM,EQ, 21-Sep-2026,388.3,389.1,395.95,389.1,390.75,390.75,392.94,1048624,4120.49,14629,483901, 46.15,0.63
ANGELONE,EQ, 21-Sep-2026,299.1,299.2,302.0,295.2,296.15,296.15,297.52,2858120,8503.45,28000,1138223, 39.82,-0.99
APLAPOLLO,EQ, 21-Sep-2026,2270.1,2224.2,2229.0,2178.7,2181.1,2181.1,2195.19,594021,13039.9,32372,297472, 50.08,-3.92
APOLLOHOSP,EQ, 21-Sep-2026,8944.5,8889.0,8974.5,8826.5,8912.0,8912.0,8916.12,209388,18669.29,27636,120414, 57.51,-0.36
