SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,PCT_CHANGE
360ONE, EQ, 10-Aug-2026,1168.1,1170.0,1189.9,1161.7,1175.6,1175.6,1176.45,523929,6163.75,17058, 261562, 49.92,0.64
ABB, EQ, 10-Aug-2026,7600.0,7639.5,7723.5,7535.0,7649.5,7649.5,7636.55,202217,15442.41,25518, 73185, 36.19,0.65
ABCAPITAL, EQ, 10-Aug-2026,408.05,405.0,412.85,401.0,407.75,407.75,408.9,2113855,8643.58,35351, 976775, 46.21,-0.07
ADANIENSOL, EQ, 10-Aug-2026,1630.1,1630.1,1635.9,1610.8,1632.0,1632.0,1623.61,929603,15093.16,33937, 476942, 51.31,0.12
ADANIENT, EQ, 10-Aug-2026,3020.0,3020.0,3021.8,2969.9,3010.0,3010.0,2999.19,811593,24341.25,40386, 302975, 37.33,-0.33
ADANIGREEN, EQ, 10-Aug-2026,1372.4,1372.1,1376.0,1356.0,1369.0,1369.0,1366.88,676426,9245.96,24124, 184165, 27.23,-0.25
ADANIPORTS, EQ, 10-Aug-2026,1693.5,1690.0,1690.0,1673.1,1681.0,1681.0,1679.9,2177216,36575.05,76817, 1383210, 63.53,-0.74
ADANIPOWER, EQ, 10-Aug-2026,209.0,209.05,211.88,207.7,210.65,210.65,209.45,13196740,27640.2,66174, 6355908, 48.16,0.79
ALKEM, EQ, 10-Aug-2026,5620.0,5624.0,5700.0,5528.5,5598.5,5598.5,5601.7,82544,4623.87,15642, 43651, 52.88,-0.38
AMBER, EQ, 10-Aug-2026,7435.0,7425.0,7427.5,7001.0,7095.0,7095.0,7152.5,718169,51367.03,73130, 307303, 42.79,-4.57
AMBUJACEM, EQ, 10-Aug-2026,434.0,434.65,435.0,430.35,430.85,430.85,432.13,1756165,7589.0,28373, 927136, 52.79,-0.73
ANGELONE, EQ, 10-Aug-2026,292.0,292.0,295.65,287.6,294.8,294.8,291.93,4076186,11899.6,49239, 1233071, 30.25,0.96
APLAPOLLO, EQ, 10-Aug-2026,1970.0,1974.9,2020.0,1951.7,2020.0,2020.0,1993.9,587468,11713.5,32850, 299919, 51.05,2.54
APOLLOHOSP, EQ, 10-Aug-2026,8945.0,8945.0,8971.0,8865.5,8912.0,8912.0,8902.47,411854,36665.19,39988, 305025, 74.06,-0.37
ASHOKLEY, EQ, 10-Aug-2026,177.5,177.5,179.0,173.8,174.0,174.0,176.66,14528731,25667.11,67974, 7914066, 54.47,-1.97
ASIANPAINT, EQ, 10-Aug-2026,2735.0,2724.7,2761.5,2713.5,2750.0,2750.0,2745.69,977656,26843.36,65407, 644008, 65.87,0.55
