SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,PCT_CHANGE
360ONE,EQ, 25-Aug-2026,1189.8,1191.2,1210.0,1186.4,1210.0,1210.0,1199.98,539607,6475.17,29688,305457, 56.61,1.7
ABB,EQ, 25-Aug-2026,7504.0,7510.0,7627.0,7435.0,7627.0,7627.0,7537.65,178245,13435.49,22185,67601, 37.93,1.64
ABCAPITAL,EQ, 25-Aug-2026,412.9,412.2,414.5,405.3,410.85,410.85,408.51,3953527,16150.54,24004,2742368, 69.37,-0.5
ADANIENSOL,EQ, 25-Aug-2026,1555.1,1554.9,1594.5,1532.0,1594.5,1594.5,1562.07,2043772,31925.05,43009,1005987, 49.22,2.53
ADANIENT,EQ, 25-Aug-2026,2998.6,2998.0,3110.0,2962.5,3110.0,3110.0,3038.98,2025912,61567.02,80743,815499, 40.25,3.72
ADANIGREEN,EQ, 25-Aug-2026,1308.0,1294.8,1330.0,1294.8,1330.0,1330.0,1319.64,2436191,32149.03,45190,1334340, 54.77,1.68
ADANIPORTS,EQ, 25-Aug-2026,1672.1,1674.0,1702.7,1671.0,1702.7,1702.7,1684.8,1300541,21911.54,40873,614326, 47.24,1.83
ADANIPOWER,EQ, 25-Aug-2026,203.7,203.06,206.8,201.43,206.33,206.33,204.5,14258939,29159.35,73076,5888204, 41.29,1.29
ALKEM,EQ, 25-Aug-2026,5350.0,5378.0,5378.0,5297.0,5368.0,5368.0,5319.61,48065,2556.87,9247,26325, 54.77,0.34
AMBER,EQ, 25-Aug-2026,7378.0,7307.5,7445.0,7307.5,7432.0,7432.0,7397.44,170338,12600.66,18962,68819, 40.40,0.73
AMBUJACEM,EQ, 25-Aug-2026,408.75,408.0,413.1,405.0,413.1,413.1,407.66,1476314,6018.37,24624,481741, 32.63,1.06
ANGELONE,EQ, 25-Aug-2026,286.0,286.8,301.55,284.0,300.9,300.9,295.31,10825633,31968.91,71760,4133081, 38.18,5.21
APLAPOLLO,EQ, 25-Aug-2026,2145.0,2145.0,2151.8,2124.0,2139.3,2139.3,2136.25,612263,13079.44,50265,344315, 56.24,-0.27
APOLLOHOSP,EQ, 25-Aug-2026,8702.0,8663.0,8889.0,8640.0,8889.0,8889.0,8741.93,256819,22450.94,25838,142249, 55.39,2.15
ASHOKLEY,EQ, 25-Aug-2026,173.29,172.36,174.69,171.58,174.69,174.69,173.06,8635802,14944.7,39641,5214632, 60.38,0.81
ASIANPAINT,EQ, 25-Aug-2026,2640.8,2631.0,2640.0,2605.2,2639.8,2639.8,2620.62,479480,12565.35,32656,229274, 47.82,-0.04
ASTRAL,EQ, 25-Aug-2026,1532.8,1524.6,1544.7,1519.0,1540.0,1540.0,1530.71,565330,8653.54,34042,295391, 52.25,0.47
AUBANK,EQ, 25-Aug-2026,1114.0,1114.0,1144.1,1105.1,1128.6,1128.6,1134.8,5688015,64547.65,76313,3075009, 54.06,1.31
AUROPHARMA,EQ, 25-Aug-2026,1608.0,1604.1,1623.8,1598.8,1617.8,1617.8,1613.94,589518,9514.47,23602,301909, 51.21,0.61
AXISBANK,EQ, 25-Aug-2026,1236.0,1236.1,1240.5,1229.8,1235.0,1235.0,1234.18,3606504,44510.63,91231,1767363, 49.00,-0.08
BAJAJ-AUTO,EQ, 25-Aug-2026,11800.0,11800.0,11927.0,11722.0,11927.0,11927.0,11807.86,159272,18806.61,23704,83196, 52.24,1.08
