SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,PCT_CHANGE
360ONE,EQ, 22-Sep-2026,1072.7,1074.3,1093.2,1065.2,1073.5,1073.5,1079.11,338935,3657.48,19929,167813, 49.51,0.07
ABB,EQ, 22-Sep-2026,7271.0,7261.5,7405.5,7117.5,7120.5,7120.5,7274.24,196683,14307.2,28094,82785, 42.09,-2.07
ABCAPITAL,EQ, 22-Sep-2026,403.4,401.0,405.0,394.65,397.0,397.0,398.87,2377189,9481.86,34220,1517166, 63.82,-1.59
ADANIENSOL,EQ, 22-Sep-2026,1397.6,1399.0,1411.9,1375.9,1381.7,1381.7,1390.85,1791593,24918.37,34483,1083494, 60.48,-1.14
ADANIENT,EQ, 22-Sep-2026,2975.0,2995.0,3026.1,2979.6,2997.0,2997.0,2996.69,793747,23786.11,39827,212395, 26.76,0.74
ADANIGREEN,EQ, 22-Sep-2026,1303.6,1309.0,1317.0,1300.0,1304.0,1304.0,1306.99,437524,5718.4,17934,114074, 26.07,0.03
ADANIPORTS,EQ, 22-Sep-2026,1787.1,1796.0,1812.7,1786.1,1795.0,1795.0,1798.22,871935,15679.35,46336,354243, 40.63,0.44
ADANIPOWER,EQ, 22-Sep-2026,206.55,207.0,210.0,206.56,206.96,206.96,208.22,11848251,24670.94,60195,5306191, 44.78,0.2
ALKEM,EQ, 22-Sep-2026,5364.0,5365.0,5419.5,5308.5,5331.5,5331.5,5382.47,94905,5108.23,14122,69420, 73.15,-0.61
AMBER,EQ, 22-Sep-2026,7098.0,7105.0,7164.5,6992.0,7000.0,7000.0,7057.33,95036,6707.01,13284,33598, 35.35,-1.38
AMBUJACEM,EQ, 22-Sep-2026,390.75,391.1,394.0,385.15,386.9,386.9,388.43,1155681,4489.02,15725,633258, 54.80,-0.99
