SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,PCT_CHANGE
360ONE,EQ, 25-Sep-2026,1080.8,1080.0,1087.9,1062.3,1073.0,1073.0,1073.39,738050,7922.18,36597,438430, 59.40,-0.72
ABB,EQ, 25-Sep-2026,7129.0,7111.0,7201.5,7025.0,7052.5,7052.5,7087.68,80574,5710.83,14255,29779, 36.96,-1.07
ABCAPITAL,EQ, 25-Sep-2026,390.1,390.9,392.2,384.8,390.0,390.0,387.61,2752305,10668.14,28946,1399798, 50.86,-0.03
ADANIENSOL,EQ, 25-Sep-2026,1340.5,1341.4,1344.0,1315.0,1338.5,1338.5,1330.27,1534753,20416.33,34850,684505, 44.60,-0.15
ADANIENT,EQ, 25-Sep-2026,2900.0,2920.0,2939.9,2902.5,2916.5,2916.5,2920.31,570504,16660.49,42051,157646, 27.63,0.57
ADANIGREEN,EQ, 25-Sep-2026,1280.1,1279.9,1299.6,1270.2,1296.6,1296.6,1287.63,972126,12517.39,29039,444108, 45.68,1.29
ADANIPORTS,EQ, 25-Sep-2026,1785.3,1791.8,1800.6,1775.0,1788.0,1788.0,1788.43,895306,16011.95,37063,420134, 46.93,0.15
ADANIPOWER,EQ, 25-Sep-2026,199.48,200.0,203.6,196.1,202.75,202.75,200.72,16171228,32458.15,81785,3977264, 24.59,1.64
ALKEM,EQ, 25-Sep-2026,5326.0,5322.5,5325.0,5237.0,5274.0,5274.0,5269.36,28742,1514.52,7139,11676, 40.62,-0.98
AMBER,EQ, 25-Sep-2026,6911.0,6916.0,7010.0,6876.0,6960.0,6960.0,6946.71,99885,6938.73,16656,25338, 25.37,0.71
AMBUJACEM,EQ, 25-Sep-2026,384.1,382.2,387.2,381.7,383.8,383.8,384.55,1180134,4538.17,22249,541688, 45.90,-0.08
ANGELONE,EQ, 25-Sep-2026,290.7,290.7,292.2,286.5,288.0,288.0,288.75,2892227,8351.19,30425,944466, 32.66,-0.93
APLAPOLLO,EQ, 25-Sep-2026,2184.8,2179.1,2219.0,2176.5,2214.7,2214.7,2199.32,339098,7457.87,16983,204632, 60.35,1.37
APOLLOHOSP,EQ, 25-Sep-2026,8888.5,8891.0,8934.5,8821.5,8889.0,8889.0,8882.11,438457,38944.23,32591,312900, 71.36,0.01
ASHOKLEY,EQ, 25-Sep-2026,157.3,157.52,159.52,156.1,159.08,159.08,158.32,10274172,16265.96,75366,5964873, 58.06,1.13
ASIANPAINT,EQ, 25-Sep-2026,2392.7,2401.9,2451.0,2397.0,2444.0,2444.0,2429.07,426982,10371.68,31581,181390, 42.48,2.14
