SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,PCT_CHANGE
360ONE,EQ, 07-Sep-2026,1137.0,1141.8,1143.5,1127.2,1136.9,1136.9,1134.52,407077,4618.37,35276,204269, 50.18,-0.01
ABB,EQ, 07-Sep-2026,7410.0,7410.0,7459.5,7327.0,7434.0,7434.0,7400.04,111152,8225.29,16322,52918, 47.61,0.32
ABCAPITAL,EQ, 07-Sep-2026,404.9,404.0,404.75,399.5,403.25,403.25,401.94,2451987,9855.62,41504,1497764, 61.08,-0.41
ADANIENSOL,EQ, 07-Sep-2026,1409.6,1412.7,1418.5,1387.8,1390.4,1390.4,1399.69,1342576,18791.85,33355,660949, 49.23,-1.36
ADANIENT,EQ, 07-Sep-2026,2938.0,2940.0,2964.4,2918.5,2950.0,2950.0,2938.16,981218,28829.78,67251,442279, 45.07,0.41
ADANIGREEN,EQ, 07-Sep-2026,1301.3,1301.2,1309.8,1285.0,1288.0,1288.0,1296.94,685684,8892.93,26231,288855, 42.13,-1.02
ADANIPORTS,EQ, 07-Sep-2026,1707.3,1714.0,1716.4,1685.9,1694.3,1694.3,1700.65,1175225,19986.43,55609,711557, 60.55,-0.76
ADANIPOWER,EQ, 07-Sep-2026,207.2,207.1,208.65,204.16,204.49,204.49,205.8,9839611,20249.61,78870,3949843, 40.14,-1.31
ALKEM,EQ, 07-Sep-2026,5190.0,5219.0,5242.5,5104.5,5242.5,5242.5,5142.86,139659,7182.47,23460,85770, 61.41,1.01
AMBER,EQ, 07-Sep-2026,7474.0,7465.0,7473.5,7390.0,7439.0,7439.0,7426.44,122437,9092.71,20533,59490, 48.59,-0.47
AMBUJACEM,EQ, 07-Sep-2026,405.0,403.0,405.35,398.6,398.6,398.6,400.62,879449,3523.27,19572,458676, 52.15,-1.58
ANGELONE,EQ, 07-Sep-2026,299.8,300.9,307.0,298.05,303.8,303.8,304.58,7522794,22912.66,49604,2870572, 38.16,1.33
APLAPOLLO,EQ, 07-Sep-2026,2250.0,2250.0,2255.0,2198.8,2215.0,2215.0,2218.03,709214,15730.57,44665,371901, 52.44,-1.56
APOLLOHOSP,EQ, 07-Sep-2026,8650.0,8682.0,8840.5,8650.0,8760.0,8760.0,8746.24,303793,26570.45,39583,173460, 57.10,1.27
ASHOKLEY,EQ, 07-Sep-2026,169.0,170.0,172.13,168.4,170.0,170.0,169.97,10426646,17722.13,70369,4232978, 40.60,0.59
ASIANPAINT,EQ, 07-Sep-2026,2527.3,2511.1,2523.5,2489.7,2500.9,2500.9,2502.49,240336,6014.39,29019,120227, 50.02,-1.04
ASTRAL,EQ, 07-Sep-2026,1492.9,1482.7,1501.5,1482.2,1498.2,1498.2,1494.09,742651,11095.88,28864,480686, 64.73,0.36
AUBANK,EQ, 07-Sep-2026,1065.0,1065.0,1066.8,1046.9,1053.0,1053.0,1056.58,939647,9928.08,48927,480857, 51.17,-1.13
AUROPHARMA,EQ, 07-Sep-2026,1653.1,1646.0,1668.0,1646.0,1660.0,1660.0,1657.17,536717,8894.31,34127,259622, 48.37,0.42
AXISBANK,EQ, 07-Sep-2026,1273.0,1271.0,1271.9,1261.6,1266.0,1266.0,1265.93,1592707,20162.51,63527,961730, 60.38,-0.55
BAJAJ-AUTO,EQ, 07-Sep-2026,11919.0,11810.0,11860.0,11727.0,11800.0,11800.0,11782.9,106111,12502.95,20614,52275, 49.26,-1.0
BAJAJFINSV,EQ, 07-Sep-2026,1970.0,1968.0,1973.0,1938.6,1938.6,1938.6,1955.56,502611,9828.88,26545,314545, 62.58,-1.59
BAJAJHLDNG,EQ, 07-Sep-2026,11162.0,11200.0,11200.0,10956.0,10956.0,10956.0,11039.61,40066,4423.13,8436,23755, 59.29,-1.85
BAJFINANCE,EQ, 07-Sep-2026,1060.5,1064.0,1070.0,1054.3,1060.0,1060.0,1059.16,3586860,37990.51,84407,1934962, 53.95,-0.05
BANDHANBNK,EQ, 07-Sep-2026,164.95,164.95,166.42,161.67,164.7,164.7,164.09,5204215,8539.45,41263,1595077, 30.65,-0.15
BANKBARODA,EQ, 07-Sep-2026,239.0,240.0,240.9,235.2,237.0,237.0,236.9,6824391,16166.71,55052,3510899, 51.45,-0.84
BANKINDIA,EQ, 07-Sep-2026,145.0,145.0,145.5,141.44,142.02,142.02,142.37,3604727,5131.97,23297,1706087, 47.33,-2.06
BDL,EQ, 07-Sep-2026,1255.0,1258.0,1267.0,1240.0,1241.7,1241.7,1251.77,807688,10110.44,26157,278520, 34.48,-1.06
BEL,EQ, 07-Sep-2026,405.35,406.35,409.25,404.0,404.0,404.0,406.35,5965784,24242.23,98097,3126254, 52.40,-0.33
BHARATFORG,EQ, 07-Sep-2026,1956.0,1953.0,1955.9,1927.3,1955.0,1955.0,1943.85,1414192,27489.79,63953,876260, 61.96,-0.05
BHARTIARTL,EQ, 07-Sep-2026,1840.0,1845.0,1855.5,1830.4,1854.0,1854.0,1842.07,5972458,110017.13,169054,4500214, 75.35,0.76
BHEL,EQ, 07-Sep-2026,431.1,432.9,434.95,418.55,421.45,421.45,423.98,4092933,17353.1,51225,1706132, 41.68,-2.24
BIOCON,EQ, 07-Sep-2026,397.4,396.5,397.35,388.65,391.4,391.4,392.13,2488189,9756.94,37576,1340035, 53.86,-1.51
BLUESTARCO,EQ, 07-Sep-2026,1484.0,1477.3,1503.3,1476.4,1496.0,1496.0,1494.36,503988,7531.39,27471,275538, 54.67,0.81
BOSCHLTD,EQ, 07-Sep-2026,46820.0,46750.0,48550.0,46535.0,48025.0,48025.0,47894.12,54963,26324.04,23896,26095, 47.48,2.57
BPCL,EQ, 07-Sep-2026,315.7,314.9,316.7,311.2,312.9,312.9,312.76,2363459,7391.95,27894,1275236, 53.96,-0.89
BRITANNIA,EQ, 07-Sep-2026,5101.5,5126.0,5126.0,5005.5,5042.5,5042.5,5042.8,307760,15519.73,34290,156112, 50.73,-1.16
BSE,EQ, 07-Sep-2026,3409.8,3430.0,3474.5,3420.0,3446.2,3446.2,3445.42,3952983,136196.81,177372,1884961, 47.68,1.07
CAMS,EQ, 07-Sep-2026,748.8,748.0,748.8,736.5,736.5,736.5,742.41,452436,3358.92,21923,256674, 56.73,-1.64
CANBK,EQ, 07-Sep-2026,125.5,125.8,126.35,124.0,124.0,124.0,124.54,9628580,11991.72,61835,5564777, 57.79,-1.2
CDSL,EQ, 07-Sep-2026,1394.6,1392.1,1438.0,1383.8,1414.9,1414.9,1421.54,2731594,38830.82,73798,1009400, 36.95,1.46
CGPOWER,EQ, 07-Sep-2026,891.0,902.0,912.05,894.25,895.0,895.0,903.08,3937949,35563.02,89241,1389769, 35.29,0.45
CHOLAFIN,EQ, 07-Sep-2026,1839.0,1838.6,1848.2,1798.3,1848.2,1848.2,1826.7,876074,16003.27,35376,498655, 56.92,0.5
CIPLA,EQ, 07-Sep-2026,1385.0,1380.0,1395.7,1376.8,1395.0,1395.0,1387.98,606497,8418.07,29776,402064, 66.29,0.72
COALINDIA,EQ, 07-Sep-2026,415.35,416.6,420.3,413.3,418.85,418.85,417.5,13592701,56749.58,114546,8582927, 63.14,0.84
COCHINSHIP,EQ, 07-Sep-2026,1499.1,1498.2,1520.4,1490.1,1506.4,1506.4,1511.64,615515,9304.4,20959,180545, 29.33,0.49
COFORGE,EQ, 07-Sep-2026,1972.8,1958.0,1958.6,1920.4,1935.0,1935.0,1935.83,1187703,22991.9,58042,677866, 57.07,-1.92
COLPAL,EQ, 07-Sep-2026,1829.2,1836.0,1838.9,1807.3,1813.5,1813.5,1815.9,289793,5262.36,17013,183706, 63.39,-0.86
CONCOR,EQ, 07-Sep-2026,508.0,507.9,510.3,501.3,503.9,503.9,505.35,705152,3563.48,16077,337558, 47.87,-0.81
CROMPTON,EQ, 07-Sep-2026,232.4,231.99,233.18,229.63,231.02,231.02,231.54,1668593,3863.41,35828,761585, 45.64,-0.59
CUMMINSIND,EQ, 07-Sep-2026,5035.0,5035.0,5072.0,4985.0,5030.0,5030.0,5028.38,201783,10146.41,27804,109460, 54.25,-0.1
DABUR,EQ, 07-Sep-2026,380.9,380.9,381.8,373.8,375.5,375.5,375.71,2530210,9506.15,33365,1438573, 56.86,-1.42
DALBHARAT,EQ, 07-Sep-2026,1749.3,1750.0,1752.1,1701.2,1715.0,1713.9,1720.61,81213,1397.36,9506,33750, 41.56,-2.02
DELHIVERY,EQ, 07-Sep-2026,457.9,456.0,458.75,450.4,453.8,453.8,453.81,583502,2648.01,17404,308258, 52.83,-0.9
DIVISLAB,EQ, 07-Sep-2026,9100.0,9119.5,9315.0,9119.5,9315.0,9315.0,9258.49,502162,46492.61,48476,318621, 63.45,2.36
DIXON,EQ, 07-Sep-2026,14240.0,14227.0,14429.0,13937.0,14180.0,14180.0,14157.21,377556,53451.41,60937,152685, 40.44,-0.42
DLF,EQ, 07-Sep-2026,681.9,685.0,685.0,672.7,672.7,672.7,676.62,1252534,8474.87,32853,702007, 56.05,-1.35
DMART,EQ, 07-Sep-2026,3770.0,3757.0,3768.9,3682.3,3710.0,3710.0,3706.53,303872,11263.12,30736,168582, 55.48,-1.59
DRREDDY,EQ, 07-Sep-2026,1151.0,1150.5,1163.2,1141.8,1144.2,1144.2,1150.78,420952,4844.23,25469,180561, 42.89,-0.59
EICHERMOT,EQ, 07-Sep-2026,7630.5,7658.0,7729.0,7615.0,7672.0,7672.0,7693.32,466050,35854.7,38086,272727, 58.52,0.54
ETERNAL,EQ, 07-Sep-2026,322.75,325.75,325.75,319.7,320.8,320.8,322.13,12845170,41377.72,107300,6918988, 53.86,-0.6
FEDERALBNK,EQ, 07-Sep-2026,343.0,343.0,343.0,337.6,342.0,342.0,340.66,5174214,17626.72,81193,2998085, 57.94,-0.29
FORCEMOT,EQ, 07-Sep-2026,17500.0,17521.0,17947.0,17501.0,17829.0,17829.0,17778.58,51095,9083.97,16697,19956, 39.06,1.88
FORTIS,EQ, 07-Sep-2026,905.0,902.1,911.5,892.8,910.0,910.0,904.18,893344,8077.41,28208,437188, 48.94,0.55
GAIL,EQ, 07-Sep-2026,173.4,173.4,177.3,172.8,176.0,176.0,175.67,9910348,17409.84,71516,5284545, 53.32,1.5
GLENMARK,EQ, 07-Sep-2026,2437.2,2420.2,2472.0,2420.2,2451.9,2451.9,2455.04,267568,6568.9,29294,109229, 40.82,0.6
